regime_label,method,num_cells,action_accuracy,mean_policy_regret,risky_action_selection_rate,mean_q_overestimation,mean_q_underestimation,mean_calibration_error,prior_dependent_cell_rate
ambiguous_risk_optimal,empirical_model_dp,1,0.0,0.08099999999999996,0.0,0.0,0.135,0.135,1.0
ambiguous_risk_optimal,empirical_risky_value,1,0.0,0.08099999999999996,0.0,0.0,0.135,0.135,1.0
ambiguous_risk_optimal,posterior_lower_q10_dp_beta_1_1,1,0.0,0.08099999999999996,0.0,0.0,0.43545,0.43545,1.0
ambiguous_risk_optimal,posterior_mean_dp_beta_1_1,1,0.0,0.08099999999999996,0.0,0.0,0.21000000000000008,0.21000000000000008,1.0
ambiguous_risk_optimal,posterior_upper_q90_dp_beta_1_1,1,1.0,0.0,1.0,0.0,0.010950000000000015,0.010950000000000015,1.0
ambiguous_risk_optimal,raw_trl,1,1.0,0.0,1.0,0.08999999999999997,0.0,0.08999999999999997,1.0
ambiguous_risk_optimal,robust_lcb_dp_delta_0_2,1,0.0,0.08099999999999996,0.0,0.0,0.6178423559151032,0.6178423559151032,1.0
ambiguous_risk_optimal,robust_ucb_dp_delta_0_2,1,1.0,0.0,1.0,0.08999999999999997,0.0,0.08999999999999997,1.0
ambiguous_risk_optimal,trl_log,1,0.0,0.08099999999999996,0.0,0.0,0.135,0.135,1.0
ambiguous_safe_optimal,empirical_model_dp,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ambiguous_safe_optimal,empirical_risky_value,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ambiguous_safe_optimal,posterior_lower_q10_dp_beta_1_1,1,1.0,0.0,0.0,0.0,0.30045,0.30045,1.0
ambiguous_safe_optimal,posterior_mean_dp_beta_1_1,1,1.0,0.0,0.0,0.0,0.07500000000000007,0.07500000000000007,1.0
ambiguous_safe_optimal,posterior_upper_q90_dp_beta_1_1,1,0.0,0.05400000000000005,1.0,0.12405,0.0,0.12405,1.0
ambiguous_safe_optimal,raw_trl,1,0.0,0.05400000000000005,1.0,0.22499999999999998,0.0,0.22499999999999998,1.0
ambiguous_safe_optimal,robust_lcb_dp_delta_0_2,1,1.0,0.0,0.0,0.0,0.48284235591510316,0.48284235591510316,1.0
ambiguous_safe_optimal,robust_ucb_dp_delta_0_2,1,0.0,0.05400000000000005,1.0,0.22499999999999998,0.0,0.22499999999999998,1.0
ambiguous_safe_optimal,trl_log,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
lucky_only_safe_optimal,empirical_model_dp,1,0.0,0.5040000000000001,1.0,0.675,0.0,0.675,1.0
lucky_only_safe_optimal,empirical_risky_value,1,0.0,0.5040000000000001,1.0,0.675,0.0,0.675,1.0
lucky_only_safe_optimal,posterior_lower_q10_dp_beta_1_1,1,1.0,0.0,0.0,0.3429000000000001,0.0,0.3429000000000001,1.0
lucky_only_safe_optimal,posterior_mean_dp_beta_1_1,1,0.0,0.5040000000000001,1.0,0.525,0.0,0.525,1.0
lucky_only_safe_optimal,posterior_upper_q90_dp_beta_1_1,1,0.0,0.5040000000000001,1.0,0.65625,0.0,0.65625,1.0
lucky_only_safe_optimal,raw_trl,1,0.0,0.5040000000000001,1.0,0.675,0.0,0.675,1.0
lucky_only_safe_optimal,robust_lcb_dp_delta_0_2,1,1.0,0.0,0.0,0.1921576440848969,0.0,0.1921576440848969,1.0
lucky_only_safe_optimal,robust_ucb_dp_delta_0_2,1,0.0,0.5040000000000001,1.0,0.675,0.0,0.675,1.0
lucky_only_safe_optimal,trl_log,1,0.0,0.5040000000000001,1.0,0.675,0.0,0.675,1.0
matched_identifiable_safe_optimal,empirical_model_dp,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
matched_identifiable_safe_optimal,empirical_risky_value,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
matched_identifiable_safe_optimal,posterior_lower_q10_dp_beta_1_1,1,1.0,0.0,0.0,0.0,0.10845,0.10845,0.0
matched_identifiable_safe_optimal,posterior_mean_dp_beta_1_1,1,1.0,0.0,0.0,0.04500000000000001,0.0,0.04500000000000001,0.0
matched_identifiable_safe_optimal,posterior_upper_q90_dp_beta_1_1,1,1.0,0.0,0.0,0.216,0.0,0.216,0.0
matched_identifiable_safe_optimal,raw_trl,1,0.0,0.5040000000000001,1.0,0.675,0.0,0.675,0.0
matched_identifiable_safe_optimal,robust_lcb_dp_delta_0_2,1,1.0,0.0,0.0,0.0,0.225,0.225,0.0
matched_identifiable_safe_optimal,robust_ucb_dp_delta_0_2,1,1.0,0.0,0.0,0.34142110411165805,0.0,0.34142110411165805,0.0
matched_identifiable_safe_optimal,trl_log,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
matched_risk_optimal,empirical_model_dp,1,1.0,0.0,1.0,0.03374999999999995,0.0,0.03374999999999995,0.0
matched_risk_optimal,empirical_risky_value,1,1.0,0.0,1.0,0.03374999999999995,0.0,0.03374999999999995,0.0
matched_risk_optimal,posterior_lower_q10_dp_beta_1_1,1,1.0,0.0,1.0,0.0,0.09914999999999996,0.09914999999999996,0.0
matched_risk_optimal,posterior_mean_dp_beta_1_1,1,1.0,0.0,1.0,0.0,0.01000000000000012,0.01000000000000012,0.0
matched_risk_optimal,posterior_upper_q90_dp_beta_1_1,1,1.0,0.0,1.0,0.0615,0.0,0.0615,0.0
matched_risk_optimal,raw_trl,1,1.0,0.0,1.0,0.08999999999999997,0.0,0.08999999999999997,0.0
matched_risk_optimal,robust_lcb_dp_delta_0_2,1,0.0,0.15390000000000004,0.0,0.0,0.20767117795755163,0.20767117795755163,0.0
matched_risk_optimal,robust_ucb_dp_delta_0_2,1,1.0,0.0,1.0,0.08999999999999997,0.0,0.08999999999999997,0.0
matched_risk_optimal,trl_log,1,1.0,0.0,1.0,0.03374999999999995,0.0,0.03374999999999995,0.0
no_success_risk_optimal,empirical_model_dp,1,0.0,0.08099999999999996,0.0,0.0,0.81,0.81,0.0
no_success_risk_optimal,empirical_risky_value,1,0.0,0.08099999999999996,0.0,0.0,0.81,0.81,0.0
no_success_risk_optimal,posterior_lower_q10_dp_beta_1_1,1,0.0,0.08099999999999996,0.0,0.0,0.7995000000000001,0.7995000000000001,0.0
no_success_risk_optimal,posterior_mean_dp_beta_1_1,1,0.0,0.08099999999999996,0.0,0.0,0.7200000000000001,0.7200000000000001,0.0
no_success_risk_optimal,posterior_upper_q90_dp_beta_1_1,1,0.0,0.08099999999999996,0.0,0.0,0.60675,0.60675,0.0
no_success_risk_optimal,raw_trl,1,0.0,0.08099999999999996,0.0,0.0,0.81,0.81,0.0
no_success_risk_optimal,robust_lcb_dp_delta_0_2,1,0.0,0.08099999999999996,0.0,0.0,0.81,0.81,0.0
no_success_risk_optimal,robust_ucb_dp_delta_0_2,1,0.0,0.08099999999999996,0.0,0.0,0.4685788958883421,0.4685788958883421,0.0
no_success_risk_optimal,trl_log,1,0.0,0.08099999999999996,0.0,0.0,0.81,0.81,0.0
no_success_safe_optimal,empirical_model_dp,1,1.0,0.0,0.0,0.0,0.225,0.225,0.0
no_success_safe_optimal,empirical_risky_value,1,1.0,0.0,0.0,0.0,0.225,0.225,0.0
no_success_safe_optimal,posterior_lower_q10_dp_beta_1_1,1,1.0,0.0,0.0,0.0,0.2145,0.2145,0.0
no_success_safe_optimal,posterior_mean_dp_beta_1_1,1,1.0,0.0,0.0,0.0,0.135,0.135,0.0
no_success_safe_optimal,posterior_upper_q90_dp_beta_1_1,1,1.0,0.0,0.0,0.0,0.02174999999999999,0.02174999999999999,0.0
no_success_safe_optimal,raw_trl,1,1.0,0.0,0.0,0.0,0.225,0.225,0.0
no_success_safe_optimal,robust_lcb_dp_delta_0_2,1,1.0,0.0,0.0,0.0,0.225,0.225,0.0
no_success_safe_optimal,robust_ucb_dp_delta_0_2,1,1.0,0.0,0.0,0.11642110411165793,0.0,0.11642110411165793,0.0
no_success_safe_optimal,trl_log,1,1.0,0.0,0.0,0.0,0.225,0.225,0.0
prior_dependent_safe_optimal,empirical_model_dp,1,0.0,0.2061,1.0,0.22500000000000003,0.0,0.22500000000000003,1.0
prior_dependent_safe_optimal,empirical_risky_value,1,0.0,0.2061,1.0,0.22500000000000003,0.0,0.22500000000000003,1.0
prior_dependent_safe_optimal,posterior_lower_q10_dp_beta_1_1,1,1.0,0.0,0.0,0.0,0.07544999999999996,0.07544999999999996,1.0
prior_dependent_safe_optimal,posterior_mean_dp_beta_1_1,1,1.0,0.0,0.0,0.14999999999999997,0.0,0.14999999999999997,1.0
prior_dependent_safe_optimal,posterior_upper_q90_dp_beta_1_1,1,0.0,0.2061,1.0,0.34905,0.0,0.34905,1.0
