gamma,goal_state,state,row,col,max_value,greedy_action
0.95,19,15,2,2,0.04750000000000004,3
0.95,19,16,2,4,0.03868904687500003,0
0.95,19,17,2,5,0.036754594531250025,0
0.95,19,18,2,6,0.034916864804687524,0
0.95,19,19,3,1,0.0,0
0.95,19,20,3,5,0.034916864804687524,0
0.95,19,21,4,0,0.04750000000000004,1
0.95,19,22,4,1,0.050000000000000044,0
0.95,19,23,4,2,0.04750000000000004,3
0.95,19,24,4,4,0.03868904687500003,2
0.95,19,25,4,5,0.036754594531250025,2
0.95,19,26,4,6,0.034916864804687524,2
0.95,19,27,5,0,0.04512500000000004,0
0.95,19,28,5,1,0.04750000000000004,0
0.95,19,29,5,2,0.04512500000000004,0
0.95,19,30,5,3,0.04286875000000004,3
0.95,19,31,5,4,0.040725312500000034,3
0.95,19,32,5,5,0.03868904687500003,3
0.95,19,33,5,6,0.036754594531250025,3
0.95,19,34,6,0,0.04286875000000004,0
0.95,19,35,6,1,0.04512500000000004,0
0.95,19,36,6,2,0.04286875000000004,0
0.95,19,37,6,4,0.03868904687500003,0
0.95,19,38,6,5,0.036754594531250025,0
0.95,19,39,6,6,0.034916864804687524,0
0.95,39,0,0,0,0.02844000461382301,1
0.95,39,1,0,1,0.02993684696191896,1
0.95,39,2,0,2,0.03151247048623049,2
0.95,39,3,0,4,0.034916864804687524,1
0.95,39,4,0,5,0.036754594531250025,2
0.95,39,5,0,6,0.034916864804687524,2
0.95,39,6,1,0,0.02993684696191896,1
0.95,39,7,1,1,0.03151247048623049,1
0.95,39,8,1,2,0.033171021564453146,1
0.95,39,9,1,3,0.034916864804687524,1
0.95,39,10,1,4,0.036754594531250025,1
0.95,39,11,1,5,0.03868904687500003,2
0.95,39,12,1,6,0.036754594531250025,2
0.95,39,13,2,0,0.03151247048623049,1
0.95,39,14,2,1,0.033171021564453146,2
0.95,39,15,2,2,0.03151247048623049,0
0.95,39,16,2,4,0.03868904687500003,1
0.95,39,17,2,5,0.040725312500000034,2
0.95,39,18,2,6,0.03868904687500003,3
0.95,39,19,3,1,0.034916864804687524,2
0.95,39,20,3,5,0.04286875000000004,2
0.95,39,21,4,0,0.034916864804687524,1
0.95,39,22,4,1,0.036754594531250025,1
0.95,39,23,4,2,0.03868904687500003,2
0.95,39,24,4,4,0.04286875000000004,1
0.95,39,25,4,5,0.04512500000000004,1
0.95,39,26,4,6,0.04750000000000004,2
0.95,39,27,5,0,0.036754594531250025,1
0.95,39,28,5,1,0.03868904687500003,1
0.95,39,29,5,2,0.040725312500000034,1
0.95,39,30,5,3,0.04286875000000004,1
0.95,39,31,5,4,0.04512500000000004,1
0.95,39,32,5,5,0.04750000000000004,1
0.95,39,33,5,6,0.050000000000000044,2
0.95,39,34,6,0,0.034916864804687524,0
0.95,39,35,6,1,0.036754594531250025,0
0.95,39,36,6,2,0.03868904687500003,0
0.95,39,37,6,4,0.04750000000000004,1
0.95,39,38,6,5,0.050000000000000044,1
0.95,39,39,6,6,0.0,0
0.99,0,0,0,0,0.0,0
0.99,0,1,0,1,0.010000000000000009,3
0.99,0,2,0,2,0.00990000000000001,3
0.99,0,3,0,4,0.009509900499000008,2
0.99,0,4,0,5,0.009414801494010007,2
0.99,0,5,0,6,0.009320653479069907,2
0.99,0,6,1,0,0.010000000000000009,0
0.99,0,7,1,1,0.00990000000000001,0
0.99,0,8,1,2,0.00980100000000001,0
0.99,0,9,1,3,0.009702990000000009,3
0.99,0,10,1,4,0.009605960100000008,3
0.99,0,11,1,5,0.009509900499000008,3
0.99,0,12,1,6,0.009414801494010007,3
0.99,0,13,2,0,0.00990000000000001,0
0.99,0,14,2,1,0.00980100000000001,0
0.99,0,15,2,2,0.009702990000000009,0
0.99,0,16,2,4,0.009509900499000008,0
0.99,0,17,2,5,0.009414801494010007,0
0.99,0,18,2,6,0.009320653479069907,0
0.99,0,19,3,1,0.009702990000000009,0
0.99,0,20,3,5,0.009320653479069907,0
0.99,0,21,4,0,0.009509900499000008,1
0.99,0,22,4,1,0.009605960100000008,0
0.99,0,23,4,2,0.009509900499000008,3
0.99,0,24,4,4,0.009135172474836415,1
0.99,0,25,4,5,0.009227446944279207,0
0.99,0,26,4,6,0.009135172474836415,3
0.99,0,27,5,0,0.009414801494010007,0
0.99,0,28,5,1,0.009509900499000008,0
0.99,0,29,5,2,0.009414801494010007,0
0.99,0,30,5,3,0.009320653479069907,3
0.99,0,31,5,4,0.009227446944279207,3
0.99,0,32,5,5,0.009135172474836415,0
0.99,0,33,5,6,0.009043820750088052,0
0.99,0,34,6,0,0.009320653479069907,0
0.99,0,35,6,1,0.009414801494010007,0
0.99,0,36,6,2,0.009320653479069907,0
0.99,0,37,6,4,0.009135172474836415,0
0.99,0,38,6,5,0.009043820750088052,0
0.99,0,39,6,6,0.00895338254258717,0
0.99,5,0,0,0,0.009320653479069907,1
0.99,5,1,0,1,0.009414801494010007,1
0.99,5,2,0,2,0.009509900499000008,2
0.99,5,3,0,4,0.00990000000000001,1
0.99,5,4,0,5,0.010000000000000009,1
0.99,5,5,0,6,0.0,0
0.99,5,6,1,0,0.009414801494010007,1
0.99,5,7,1,1,0.009509900499000008,1
0.99,5,8,1,2,0.009605960100000008,1
0.99,5,9,1,3,0.009702990000000009,1
0.99,5,10,1,4,0.00980100000000001,0
0.99,5,11,1,5,0.00990000000000001,0
0.99,5,12,1,6,0.010000000000000009,0
0.99,5,13,2,0,0.009320653479069907,0
0.99,5,14,2,1,0.009414801494010007,0
0.99,5,15,2,2,0.009509900499000008,0
0.99,5,16,2,4,0.009702990000000009,0
0.99,5,17,2,5,0.00980100000000001,0
0.99,5,18,2,6,0.00990000000000001,0
0.99,5,19,3,1,0.009320653479069907,0
0.99,5,20,3,5,0.009702990000000009,0
0.99,5,21,4,0,0.009135172474836415,1
0.99,5,22,4,1,0.009227446944279207,0
0.99,5,23,4,2,0.009135172474836415,2
0.99,5,24,4,4,0.009509900499000008,1
0.99,5,25,4,5,0.009605960100000008,0
0.99,5,26,4,6,0.009509900499000008,3
0.99,5,27,5,0,0.009043820750088052,0
0.99,5,28,5,1,0.009135172474836415,0
0.99,5,29,5,2,0.009227446944279207,1
0.99,5,30,5,3,0.009320653479069907,1
0.99,5,31,5,4,0.009414801494010007,0
0.99,5,32,5,5,0.009509900499000008,0
0.99,5,33,5,6,0.009414801494010007,0
0.99,5,34,6,0,0.00895338254258717,0
0.99,5,35,6,1,0.009043820750088052,0
0.99,5,36,6,2,0.009135172474836415,0
0.99,5,37,6,4,0.009320653479069907,0
0.99,5,38,6,5,0.009414801494010007,0
0.99,5,39,6,6,0.009320653479069907,0
0.99,19,0,0,0,0.009702990000000009,1
0.99,19,1,0,1,0.00980100000000001,2
0.99,19,2,0,2,0.009702990000000009,2
0.99,19,3,0,4,0.009509900499000008,2
0.99,19,4,0,5,0.009414801494010007,2
0.99,19,5,0,6,0.009320653479069907,2
0.99,19,6,1,0,0.00980100000000001,1
0.99,19,7,1,1,0.00990000000000001,2
0.99,19,8,1,2,0.00980100000000001,2
0.99,19,9,1,3,0.009702990000000009,3
0.99,19,10,1,4,0.009605960100000008,3
0.99,19,11,1,5,0.009509900499000008,3
0.99,19,12,1,6,0.009414801494010007,3
0.99,19,13,2,0,0.00990000000000001,1
0.99,19,14,2,1,0.010000000000000009,2
0.99,19,15,2,2,0.00990000000000001,3
0.99,19,16,2,4,0.009509900499000008,0
0.99,19,17,2,5,0.009414801494010007,0
0.99,19,18,2,6,0.009320653479069907,0
0.99,19,19,3,1,0.0,0
0.99,19,20,3,5,0.009320653479069907,0
0.99,19,21,4,0,0.00990000000000001,1
0.99,19,22,4,1,0.010000000000000009,0
0.99,19,23,4,2,0.00990000000000001,3
0.99,19,24,4,4,0.009509900499000008,2
0.99,19,25,4,5,0.009414801494010007,2
0.99,19,26,4,6,0.009320653479069907,2
0.99,19,27,5,0,0.00980100000000001,0
0.99,19,28,5,1,0.00990000000000001,0
0.99,19,29,5,2,0.00980100000000001,0
0.99,19,30,5,3,0.009702990000000009,3
0.99,19,31,5,4,0.009605960100000008,3
0.99,19,32,5,5,0.009509900499000008,3
0.99,19,33,5,6,0.009414801494010007,3
0.99,19,34,6,0,0.009702990000000009,0
0.99,19,35,6,1,0.00980100000000001,0
0.99,19,36,6,2,0.009702990000000009,0
0.99,19,37,6,4,0.009509900499000008,0
0.99,19,38,6,5,0.009414801494010007,0
0.99,19,39,6,6,0.009320653479069907,0
0.99,39,0,0,0,0.00895338254258717,1
0.99,39,1,0,1,0.009043820750088052,1
0.99,39,2,0,2,0.009135172474836415,2
0.99,39,3,0,4,0.009320653479069907,1
0.99,39,4,0,5,0.009414801494010007,2
0.99,39,5,0,6,0.009320653479069907,2
0.99,39,6,1,0,0.009043820750088052,1
0.99,39,7,1,1,0.009135172474836415,1
0.99,39,8,1,2,0.009227446944279207,1
0.99,39,9,1,3,0.009320653479069907,1
0.99,39,10,1,4,0.009414801494010007,1
0.99,39,11,1,5,0.009509900499000008,2
0.99,39,12,1,6,0.009414801494010007,2
0.99,39,13,2,0,0.009135172474836415,1
0.99,39,14,2,1,0.009227446944279207,2
0.99,39,15,2,2,0.009135172474836415,0
0.99,39,16,2,4,0.009509900499000008,1
0.99,39,17,2,5,0.009605960100000008,2
0.99,39,18,2,6,0.009509900499000008,3
0.99,39,19,3,1,0.009320653479069907,2
0.99,39,20,3,5,0.009702990000000009,2
0.99,39,21,4,0,0.009320653479069907,1
0.99,39,22,4,1,0.009414801494010007,1
0.99,39,23,4,2,0.009509900499000008,2
0.99,39,24,4,4,0.009702990000000009,1
0.99,39,25,4,5,0.00980100000000001,1
0.99,39,26,4,6,0.00990000000000001,2
0.99,39,27,5,0,0.009414801494010007,1
0.99,39,28,5,1,0.009509900499000008,1
0.99,39,29,5,2,0.009605960100000008,1
0.99,39,30,5,3,0.009702990000000009,1
0.99,39,31,5,4,0.00980100000000001,1
0.99,39,32,5,5,0.00990000000000001,1
0.99,39,33,5,6,0.010000000000000009,2
0.99,39,34,6,0,0.009320653479069907,0
0.99,39,35,6,1,0.009414801494010007,0
0.99,39,36,6,2,0.009509900499000008,0
0.99,39,37,6,4,0.00990000000000001,1
0.99,39,38,6,5,0.010000000000000009,1
0.99,39,39,6,6,0.0,0
