gamma,goal_state,state,row,col,max_value,greedy_action
0.95,0,0,0,0,0.0,0
0.95,0,1,0,1,0.050000000000000044,3
0.95,0,2,0,2,0.04750000000000004,3
0.95,0,3,0,4,0.03868904687500003,2
0.95,0,4,0,5,0.036754594531250025,2
0.95,0,5,0,6,0.034916864804687524,2
0.95,0,6,1,0,0.050000000000000044,0
0.95,0,7,1,1,0.04750000000000004,0
0.95,0,8,1,2,0.04512500000000004,0
0.95,0,9,1,3,0.04286875000000004,3
0.95,0,10,1,4,0.040725312500000034,3
0.95,0,11,1,5,0.03868904687500003,3
0.95,0,12,1,6,0.036754594531250025,3
0.95,0,13,2,0,0.04750000000000004,0
0.95,0,14,2,1,0.04512500000000004,0
0.95,0,15,2,2,0.04286875000000004,0
0.95,0,16,2,4,0.03868904687500003,0
0.95,0,17,2,5,0.036754594531250025,0
0.95,0,18,2,6,0.034916864804687524,0
0.95,0,19,3,1,0.04286875000000004,0
0.95,0,20,3,5,0.034916864804687524,0
0.95,0,21,4,0,0.03868904687500003,1
0.95,0,22,4,1,0.040725312500000034,0
0.95,0,23,4,2,0.03868904687500003,3
0.95,0,24,4,4,0.03151247048623049,1
0.95,0,25,4,5,0.033171021564453146,0
0.95,0,26,4,6,0.03151247048623049,3
0.95,0,27,5,0,0.036754594531250025,0
0.95,0,28,5,1,0.03868904687500003,0
0.95,0,29,5,2,0.036754594531250025,0
0.95,0,30,5,3,0.034916864804687524,3
0.95,0,31,5,4,0.033171021564453146,3
0.95,0,32,5,5,0.03151247048623049,0
0.95,0,33,5,6,0.02993684696191896,0
0.95,0,34,6,0,0.034916864804687524,0
0.95,0,35,6,1,0.036754594531250025,0
0.95,0,36,6,2,0.034916864804687524,0
0.95,0,37,6,4,0.03151247048623049,0
0.95,0,38,6,5,0.02993684696191896,0
0.95,0,39,6,6,0.02844000461382301,0
0.95,5,0,0,0,0.034916864804687524,1
0.95,5,1,0,1,0.036754594531250025,1
0.95,5,2,0,2,0.03868904687500003,2
0.95,5,3,0,4,0.04750000000000004,1
0.95,5,4,0,5,0.050000000000000044,1
0.95,5,5,0,6,0.0,0
0.95,5,6,1,0,0.036754594531250025,1
0.95,5,7,1,1,0.03868904687500003,1
0.95,5,8,1,2,0.040725312500000034,1
0.95,5,9,1,3,0.04286875000000004,1
0.95,5,10,1,4,0.04512500000000004,0
0.95,5,11,1,5,0.04750000000000004,0
0.95,5,12,1,6,0.050000000000000044,0
0.95,5,13,2,0,0.034916864804687524,0
0.95,5,14,2,1,0.036754594531250025,0
0.95,5,15,2,2,0.03868904687500003,0
0.95,5,16,2,4,0.04286875000000004,0
0.95,5,17,2,5,0.04512500000000004,0
0.95,5,18,2,6,0.04750000000000004,0
0.95,5,19,3,1,0.034916864804687524,0
0.95,5,20,3,5,0.04286875000000004,0
0.95,5,21,4,0,0.03151247048623049,1
0.95,5,22,4,1,0.033171021564453146,0
0.95,5,23,4,2,0.03151247048623049,2
0.95,5,24,4,4,0.03868904687500003,1
0.95,5,25,4,5,0.040725312500000034,0
0.95,5,26,4,6,0.03868904687500003,3
0.95,5,27,5,0,0.02993684696191896,0
0.95,5,28,5,1,0.03151247048623049,0
0.95,5,29,5,2,0.033171021564453146,1
0.95,5,30,5,3,0.034916864804687524,1
0.95,5,31,5,4,0.036754594531250025,0
0.95,5,32,5,5,0.03868904687500003,0
0.95,5,33,5,6,0.036754594531250025,0
0.95,5,34,6,0,0.02844000461382301,0
0.95,5,35,6,1,0.02993684696191896,0
0.95,5,36,6,2,0.03151247048623049,0
0.95,5,37,6,4,0.034916864804687524,0
0.95,5,38,6,5,0.036754594531250025,0
0.95,5,39,6,6,0.034916864804687524,0
0.95,19,0,0,0,0.04286875000000004,1
0.95,19,1,0,1,0.04512500000000004,2
0.95,19,2,0,2,0.04286875000000004,2
0.95,19,3,0,4,0.03868904687500003,2
0.95,19,4,0,5,0.036754594531250025,2
0.95,19,5,0,6,0.034916864804687524,2
0.95,19,6,1,0,0.04512500000000004,1
0.95,19,7,1,1,0.04750000000000004,2
0.95,19,8,1,2,0.04512500000000004,2
0.95,19,9,1,3,0.04286875000000004,3
0.95,19,10,1,4,0.040725312500000034,3
0.95,19,11,1,5,0.03868904687500003,3
0.95,19,12,1,6,0.036754594531250025,3
0.95,19,13,2,0,0.04750000000000004,1
0.95,19,14,2,1,0.050000000000000044,2
