regime_id,tags,true_risky_success_prob,safe_length,risk_total_length_if_successful,risky_samples,observed_successes,observed_failures,observed_success_rate,method,estimated_start_safe_q,estimated_start_risky_q,exact_start_safe_q,exact_start_risky_q,estimated_action,exact_optimal_action,matches_exact_action,policy_regret,risky_action_selected,risky_q_overestimation,risky_q_underestimation,risky_q_calibration_error,safe_q_calibration_error,heldout_long_horizon_value_mse,all_pair_value_mse,mean_abs_q_error
matched_safe_optimal,matched;safe_optimal,0.5,4,3,10,5,5,0.5,mc_supervised,0.0,0.0,0.6561000000000001,0.36450000000000005,safe,safe,True,0.0,False,0.0,0.36450000000000005,0.36450000000000005,0.6561000000000001,0.36492282000000015,0.15639549428571436,0.24994285714285722
matched_safe_optimal,matched;safe_optimal,0.5,4,3,10,5,5,0.5,trl_raw,0.6561000000000001,0.7290000000000001,0.6561000000000001,0.36450000000000005,risky,safe,False,0.2916000000000001,True,0.36450000000000005,0.0,0.36450000000000005,0.0,0.044286750000000014,0.01898003571428572,0.05207142857142858
matched_safe_optimal,matched;safe_optimal,0.5,4,3,10,5,5,0.5,trl_log,0.6561000000000001,0.36450000000000005,0.6561000000000001,0.36450000000000005,safe,safe,True,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matched_safe_optimal,matched;safe_optimal,0.5,4,3,10,5,5,0.5,empirical_model_dp,0.6561000000000001,0.36450000000000005,0.6561000000000001,0.36450000000000005,safe,safe,True,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matched_safe_optimal,matched;safe_optimal,0.5,4,3,10,5,5,0.5,posterior_mean_model_dp,0.6561000000000001,0.36450000000000005,0.6561000000000001,0.36450000000000005,safe,safe,True,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matched_safe_optimal,matched;safe_optimal,0.5,4,3,10,5,5,0.5,posterior_lower_q10_model_dp,0.6561000000000001,0.23157899999999998,0.6561000000000001,0.36450000000000005,safe,safe,True,0.0,False,0.0,0.13292100000000007,0.13292100000000007,0.0,0.005889330747000006,0.0025239988915714312,0.018988714285714296
matched_safe_optimal,matched;safe_optimal,0.5,4,3,10,5,5,0.5,posterior_trl_log,0.6561000000000001,0.36450000000000005,0.6561000000000001,0.36450000000000005,safe,safe,True,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matched_safe_optimal,matched;safe_optimal,0.5,4,3,10,5,5,0.5,posterior_mc_plus_trl_log,0.6561000000000001,0.3645000000000001,0.6561000000000001,0.36450000000000005,safe,safe,True,0.0,False,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,1.0271626370065257e-33,2.2010627935854125e-33,2.3790493384824782e-17
matched_risk_optimal,matched;risk_optimal,0.95,4,3,20,19,1,0.95,mc_supervised,0.0,0.0,0.6561000000000001,0.69255,safe,risky,False,0.03644999999999987,False,0.0,0.69255,0.69255,0.6561000000000001,0.4805112375000002,0.20593338750000006,0.29680714285714294
matched_risk_optimal,matched;risk_optimal,0.95,4,3,20,19,1,0.95,trl_raw,0.6561000000000001,0.7290000000000001,0.6561000000000001,0.69255,risky,risky,True,0.0,True,0.03645000000000009,0.0,0.03645000000000009,0.0,0.0004428675000000023,0.00018980035714285813,0.00520714285714287
