gamma,r_bar,samples,p_g_plus,p_g_minus,p_continue,sampled_g_plus_count,sampled_g_plus_count_per_10000,analytic_expected_g_plus_count,analytic_expected_g_plus_count_per_10000,sampled_target_mean,sampled_target_variance,soft_target_mean,soft_target_variance,analytic_expected_mean,analytic_expected_variance,analytic_sample_mean_stderr,monte_carlo_abs_tolerance,sampled_mean_abs_error_vs_soft,sampled_mean_within_tolerance,soft_variance_negligible,sampled_minus_soft_mean,sampled_minus_soft_variance,analytic_target_coefficient_of_variation
0.9,0.01,1000000,0.0009999999999999998,0.09899999999999998,0.9,961,9.610000000000001,999.9999999999998,9.999999999999998,0.000961,0.0009600764790000001,0.0009999999999999998,0.0,0.0009999999999999998,0.0009989999999999999,3.1606961258558214e-05,0.0001896417675513493,3.8999999999999755e-05,True,True,-3.8999999999999755e-05,0.0009600764790000001,31.60696125855822
0.9,0.1,1000000,0.009999999999999998,0.08999999999999998,0.9,10194,101.94,9999.999999999998,99.99999999999999,0.010194,0.010090082363999999,0.009999999999999998,0.0,0.009999999999999998,0.009899999999999999,9.949874371066199e-05,0.0005969924622639719,0.00019400000000000146,True,True,0.00019400000000000146,0.010090082363999999,9.949874371066201
0.9,0.5,1000000,0.04999999999999999,0.04999999999999999,0.9,49876,498.76,49999.999999999985,499.9999999999999,0.049876,0.047388384623999996,0.04999999999999999,0.0,0.04999999999999999,0.04749999999999999,0.00021794494717703366,0.0013076696830622019,0.00012399999999999217,True,True,-0.00012399999999999217,0.047388384623999996,4.358898943540674
0.9,1.0,1000000,0.09999999999999998,0.0,0.9,100502,1005.02,99999.99999999997,999.9999999999998,0.100502,0.090401347996,0.09999999999999998,0.0,0.09999999999999998,0.08999999999999998,0.0003,0.0018,0.0005020000000000163,True,True,0.0005020000000000163,0.090401347996,3.0000000000000004
0.95,0.01,1000000,0.0005000000000000004,0.049500000000000044,0.95,479,4.79,500.00000000000045,5.000000000000004,0.000479,0.000478770559,0.0005000000000000004,0.0,0.0005000000000000004,0.0004997500000000005,2.235508890610817e-05,0.000134130533436649,2.1000000000000456e-05,True,True,-2.1000000000000456e-05,0.000478770559,44.7101778122163
0.95,0.1,1000000,0.0050000000000000044,0.04500000000000004,0.95,5086,50.86,5000.000000000005,50.00000000000004,0.005086,0.005060132604,0.0050000000000000044,0.0,0.0050000000000000044,0.004975000000000005,7.053367989832946e-05,0.00042320207938997676,8.59999999999958e-05,True,True,8.59999999999958e-05,0.005060132604,14.106735979665878
0.95,0.5,1000000,0.025000000000000022,0.025000000000000022,0.95,25217,252.17,25000.000000000022,250.00000000000023,0.025217,0.024581102910999998,0.025000000000000022,0.0,0.025000000000000022,0.02437500000000002,0.00015612494995996003,0.0009367496997597602,0.00021699999999997763,True,True,0.00021699999999997763,0.024581102910999998,6.244997998398395
0.95,1.0,1000000,0.050000000000000044,0.0,0.95,50025,500.25,50000.000000000044,500.00000000000045,0.050025,0.047522499375,0.050000000000000044,0.0,0.050000000000000044,0.04750000000000004,0.00021794494717703377,0.0013076696830622027,2.4999999999955613e-05,True,True,2.4999999999955613e-05,0.047522499375,4.358898943540671
0.99,0.01,1000000,0.00010000000000000009,0.00990000000000001,0.99,109,1.09,100.00000000000009,1.0000000000000009,0.000109,0.000108988119,0.00010000000000000009,0.0,0.00010000000000000009,9.999000000000009e-05,9.999499987499379e-06,5.999699992499628e-05,8.99999999999992e-06,True,True,8.99999999999992e-06,0.000108988119,99.99499987499371
0.99,0.1,1000000,0.0010000000000000009,0.009000000000000008,0.99,997,9.97,1000.0000000000009,10.000000000000009,0.000997,0.000996005991,0.0010000000000000009,0.0,0.0010000000000000009,0.000999000000000001,3.1606961258558234e-05,0.0001896417675513494,3.000000000000832e-06,True,True,-3.000000000000832e-06,0.000996005991,31.606961258558204
0.99,0.5,1000000,0.0050000000000000044,0.0050000000000000044,0.99,5026,50.26,5000.000000000005,50.00000000000004,0.005026,0.005000739324,0.0050000000000000044,0.0,0.0050000000000000044,0.004975000000000005,7.053367989832946e-05,0.00042320207938997676,2.5999999999995645e-05,True,True,2.5999999999995645e-05,0.005000739324,14.106735979665878
0.99,1.0,1000000,0.010000000000000009,0.0,0.99,9780,97.80000000000001,10000.00000000001,100.00000000000009,0.00978,0.0096843516,0.010000000000000009,0.0,0.010000000000000009,0.00990000000000001,9.949874371066204e-05,0.0005969924622639723,0.00022000000000000838,True,True,-0.00022000000000000838,0.0096843516,9.949874371066196
0.995,0.01,1000000,5.000000000000004e-05,0.004950000000000005,0.995,48,0.48000000000000004,50.00000000000004,0.5000000000000004,4.8e-05,4.7997696e-05,5.000000000000004e-05,0.0,5.000000000000004e-05,4.9997500000000044e-05,7.070891032960418e-06,4.24253461977625e-05,2.000000000000042e-06,True,True,-2.000000000000042e-06,4.7997696e-05,141.41782065920822
0.995,0.1,1000000,0.0005000000000000004,0.004500000000000004,0.995,479,4.79,500.00000000000045,5.000000000000004,0.000479,0.000478770559,0.0005000000000000004,0.0,0.0005000000000000004,0.0004997500000000005,2.235508890610817e-05,0.000134130533436649,2.1000000000000456e-05,True,True,-2.1000000000000456e-05,0.000478770559,44.7101778122163
0.995,0.5,1000000,0.0025000000000000022,0.0025000000000000022,0.995,2549,25.490000000000002,2500.0000000000023,25.00000000000002,0.002549,0.002542502599,0.0025000000000000022,0.0,0.0025000000000000022,0.0024937500000000025,4.993746088859547e-05,0.0002996247653315728,4.899999999999783e-05,True,True,4.899999999999783e-05,0.002542502599,19.97498435543817
0.995,1.0,1000000,0.0050000000000000044,0.0,0.995,5010,50.099999999999994,5000.000000000005,50.00000000000004,0.00501,0.0049848999,0.0050000000000000044,0.0,0.0050000000000000044,0.004975000000000005,7.053367989832946e-05,0.00042320207938997676,9.999999999995256e-06,True,True,9.999999999995256e-06,0.0049848999,14.106735979665878
