cell_id,method,safe_length,true_risky_success_prob,risky_samples,observed_successes,classification,policy_regret
cell_0021,posterior_upper_q90_beta_1_1,2,0.1,16,6,identifiable,0.0
cell_0021,hoeffding_lcb_delta_0_2,2,0.1,16,6,identifiable,0.0
cell_0021,hoeffding_ucb_delta_0_2,2,0.1,16,6,identifiable,0.0
cell_0022,raw_trl,2,0.1,16,7,identifiable,0.7200000000000001
cell_0022,trl_log,2,0.1,16,7,identifiable,0.0
cell_0022,empirical_transition_dp,2,0.1,16,7,identifiable,0.0
cell_0022,empirical_risky_value,2,0.1,16,7,identifiable,0.0
cell_0022,posterior_mean_beta_1_1,2,0.1,16,7,identifiable,0.0
cell_0022,posterior_lower_q10_beta_1_1,2,0.1,16,7,identifiable,0.0
cell_0022,posterior_upper_q90_beta_1_1,2,0.1,16,7,identifiable,0.0
cell_0022,hoeffding_lcb_delta_0_2,2,0.1,16,7,identifiable,0.0
cell_0022,hoeffding_ucb_delta_0_2,2,0.1,16,7,identifiable,0.0
cell_0023,raw_trl,2,0.1,16,8,identifiable,0.7200000000000001
cell_0023,trl_log,2,0.1,16,8,identifiable,0.0
cell_0023,empirical_transition_dp,2,0.1,16,8,identifiable,0.0
cell_0023,empirical_risky_value,2,0.1,16,8,identifiable,0.0
cell_0023,posterior_mean_beta_1_1,2,0.1,16,8,identifiable,0.0
cell_0023,posterior_lower_q10_beta_1_1,2,0.1,16,8,identifiable,0.0
cell_0023,posterior_upper_q90_beta_1_1,2,0.1,16,8,identifiable,0.0
cell_0023,hoeffding_lcb_delta_0_2,2,0.1,16,8,identifiable,0.0
cell_0023,hoeffding_ucb_delta_0_2,2,0.1,16,8,identifiable,0.0
cell_0024,raw_trl,2,0.1,16,9,identifiable,0.7200000000000001
cell_0024,trl_log,2,0.1,16,9,identifiable,0.0
cell_0024,empirical_transition_dp,2,0.1,16,9,identifiable,0.0
cell_0024,empirical_risky_value,2,0.1,16,9,identifiable,0.0
cell_0024,posterior_mean_beta_1_1,2,0.1,16,9,identifiable,0.0
cell_0024,posterior_lower_q10_beta_1_1,2,0.1,16,9,identifiable,0.0
cell_0024,posterior_upper_q90_beta_1_1,2,0.1,16,9,identifiable,0.0
cell_0024,hoeffding_lcb_delta_0_2,2,0.1,16,9,identifiable,0.0
cell_0024,hoeffding_ucb_delta_0_2,2,0.1,16,9,identifiable,0.0
cell_0025,raw_trl,2,0.1,16,10,identifiable,0.7200000000000001
cell_0025,trl_log,2,0.1,16,10,identifiable,0.0
cell_0025,empirical_transition_dp,2,0.1,16,10,identifiable,0.0
cell_0025,empirical_risky_value,2,0.1,16,10,identifiable,0.0
cell_0025,posterior_mean_beta_1_1,2,0.1,16,10,identifiable,0.0
cell_0025,posterior_lower_q10_beta_1_1,2,0.1,16,10,identifiable,0.0
cell_0025,posterior_upper_q90_beta_1_1,2,0.1,16,10,identifiable,0.0
cell_0025,hoeffding_lcb_delta_0_2,2,0.1,16,10,identifiable,0.0
cell_0025,hoeffding_ucb_delta_0_2,2,0.1,16,10,identifiable,0.0
cell_0026,raw_trl,2,0.1,16,11,ambiguous,0.7200000000000001
cell_0026,trl_log,2,0.1,16,11,ambiguous,0.0
cell_0026,empirical_transition_dp,2,0.1,16,11,ambiguous,0.0
cell_0026,empirical_risky_value,2,0.1,16,11,ambiguous,0.0
cell_0026,posterior_mean_beta_1_1,2,0.1,16,11,ambiguous,0.0
cell_0026,posterior_lower_q10_beta_1_1,2,0.1,16,11,ambiguous,0.0
cell_0026,posterior_upper_q90_beta_1_1,2,0.1,16,11,ambiguous,0.0
cell_0026,hoeffding_lcb_delta_0_2,2,0.1,16,11,ambiguous,0.0
cell_0026,hoeffding_ucb_delta_0_2,2,0.1,16,11,ambiguous,0.7200000000000001
cell_0027,raw_trl,2,0.1,16,12,ambiguous,0.7200000000000001
cell_0027,trl_log,2,0.1,16,12,ambiguous,0.0
cell_0027,empirical_transition_dp,2,0.1,16,12,ambiguous,0.0
cell_0027,empirical_risky_value,2,0.1,16,12,ambiguous,0.0
cell_0027,posterior_mean_beta_1_1,2,0.1,16,12,ambiguous,0.0
cell_0027,posterior_lower_q10_beta_1_1,2,0.1,16,12,ambiguous,0.0
cell_0027,posterior_upper_q90_beta_1_1,2,0.1,16,12,ambiguous,0.0
cell_0027,hoeffding_lcb_delta_0_2,2,0.1,16,12,ambiguous,0.0
cell_0027,hoeffding_ucb_delta_0_2,2,0.1,16,12,ambiguous,0.7200000000000001
cell_0028,raw_trl,2,0.1,16,13,ambiguous,0.7200000000000001
cell_0028,trl_log,2,0.1,16,13,ambiguous,0.0
cell_0028,empirical_transition_dp,2,0.1,16,13,ambiguous,0.0
cell_0028,empirical_risky_value,2,0.1,16,13,ambiguous,0.0
cell_0028,posterior_mean_beta_1_1,2,0.1,16,13,ambiguous,0.0
cell_0028,posterior_lower_q10_beta_1_1,2,0.1,16,13,ambiguous,0.0
cell_0028,posterior_upper_q90_beta_1_1,2,0.1,16,13,ambiguous,0.0
cell_0028,hoeffding_lcb_delta_0_2,2,0.1,16,13,ambiguous,0.0
cell_0028,hoeffding_ucb_delta_0_2,2,0.1,16,13,ambiguous,0.7200000000000001
cell_0029,raw_trl,2,0.1,16,14,prior_dependent,0.7200000000000001
cell_0029,trl_log,2,0.1,16,14,prior_dependent,0.0
cell_0029,empirical_transition_dp,2,0.1,16,14,prior_dependent,0.0
cell_0029,empirical_risky_value,2,0.1,16,14,prior_dependent,0.0
cell_0029,posterior_mean_beta_1_1,2,0.1,16,14,prior_dependent,0.0
cell_0029,posterior_lower_q10_beta_1_1,2,0.1,16,14,prior_dependent,0.0
cell_0029,posterior_upper_q90_beta_1_1,2,0.1,16,14,prior_dependent,0.7200000000000001
cell_0029,hoeffding_lcb_delta_0_2,2,0.1,16,14,prior_dependent,0.0
cell_0029,hoeffding_ucb_delta_0_2,2,0.1,16,14,prior_dependent,0.7200000000000001
cell_0030,raw_trl,2,0.1,16,15,prior_dependent,0.7200000000000001
cell_0030,trl_log,2,0.1,16,15,prior_dependent,0.7200000000000001
cell_0030,empirical_transition_dp,2,0.1,16,15,prior_dependent,0.7200000000000001
cell_0030,empirical_risky_value,2,0.1,16,15,prior_dependent,0.7200000000000001
cell_0030,posterior_mean_beta_1_1,2,0.1,16,15,prior_dependent,0.0
cell_0030,posterior_lower_q10_beta_1_1,2,0.1,16,15,prior_dependent,0.0
cell_0030,posterior_upper_q90_beta_1_1,2,0.1,16,15,prior_dependent,0.7200000000000001
cell_0030,hoeffding_lcb_delta_0_2,2,0.1,16,15,prior_dependent,0.0
cell_0030,hoeffding_ucb_delta_0_2,2,0.1,16,15,prior_dependent,0.7200000000000001
cell_0031,raw_trl,2,0.1,16,16,lucky_only,0.7200000000000001
cell_0031,trl_log,2,0.1,16,16,lucky_only,0.7200000000000001
cell_0031,empirical_transition_dp,2,0.1,16,16,lucky_only,0.7200000000000001
cell_0031,empirical_risky_value,2,0.1,16,16,lucky_only,0.7200000000000001
cell_0031,posterior_mean_beta_1_1,2,0.1,16,16,lucky_only,0.7200000000000001
cell_0031,posterior_lower_q10_beta_1_1,2,0.1,16,16,lucky_only,0.0
cell_0031,posterior_upper_q90_beta_1_1,2,0.1,16,16,lucky_only,0.7200000000000001
cell_0031,hoeffding_lcb_delta_0_2,2,0.1,16,16,lucky_only,0.0
cell_0031,hoeffding_ucb_delta_0_2,2,0.1,16,16,lucky_only,0.7200000000000001
cell_0032,raw_trl,3,0.1,4,0,no_success,0.0
cell_0032,trl_log,3,0.1,4,0,no_success,0.0
cell_0032,empirical_transition_dp,3,0.1,4,0,no_success,0.0
cell_0032,empirical_risky_value,3,0.1,4,0,no_success,0.0
cell_0032,posterior_mean_beta_1_1,3,0.1,4,0,no_success,0.0
cell_0032,posterior_lower_q10_beta_1_1,3,0.1,4,0,no_success,0.0
cell_0032,posterior_upper_q90_beta_1_1,3,0.1,4,0,no_success,0.0
cell_0032,hoeffding_lcb_delta_0_2,3,0.1,4,0,no_success,0.0
cell_0032,hoeffding_ucb_delta_0_2,3,0.1,4,0,no_success,0.0
cell_0033,raw_trl,3,0.1,4,1,matched_identifiable,0.6390000000000001
cell_0033,trl_log,3,0.1,4,1,matched_identifiable,0.0
cell_0033,empirical_transition_dp,3,0.1,4,1,matched_identifiable,0.0
cell_0033,empirical_risky_value,3,0.1,4,1,matched_identifiable,0.0
cell_0033,posterior_mean_beta_1_1,3,0.1,4,1,matched_identifiable,0.0
cell_0033,posterior_lower_q10_beta_1_1,3,0.1,4,1,matched_identifiable,0.0
cell_0033,posterior_upper_q90_beta_1_1,3,0.1,4,1,matched_identifiable,0.0
cell_0033,hoeffding_lcb_delta_0_2,3,0.1,4,1,matched_identifiable,0.0
cell_0033,hoeffding_ucb_delta_0_2,3,0.1,4,1,matched_identifiable,0.0
cell_0034,raw_trl,3,0.1,4,2,ambiguous,0.6390000000000001
cell_0034,trl_log,3,0.1,4,2,ambiguous,0.0
cell_0034,empirical_transition_dp,3,0.1,4,2,ambiguous,0.0
cell_0034,empirical_risky_value,3,0.1,4,2,ambiguous,0.0
cell_0034,posterior_mean_beta_1_1,3,0.1,4,2,ambiguous,0.0
cell_0034,posterior_lower_q10_beta_1_1,3,0.1,4,2,ambiguous,0.0
cell_0034,posterior_upper_q90_beta_1_1,3,0.1,4,2,ambiguous,0.0
cell_0034,hoeffding_lcb_delta_0_2,3,0.1,4,2,ambiguous,0.0
cell_0034,hoeffding_ucb_delta_0_2,3,0.1,4,2,ambiguous,0.6390000000000001
cell_0035,raw_trl,3,0.1,4,3,prior_dependent,0.6390000000000001
cell_0035,trl_log,3,0.1,4,3,prior_dependent,0.0
cell_0035,empirical_transition_dp,3,0.1,4,3,prior_dependent,0.0
cell_0035,empirical_risky_value,3,0.1,4,3,prior_dependent,0.0
cell_0035,posterior_mean_beta_1_1,3,0.1,4,3,prior_dependent,0.0
cell_0035,posterior_lower_q10_beta_1_1,3,0.1,4,3,prior_dependent,0.0
cell_0035,posterior_upper_q90_beta_1_1,3,0.1,4,3,prior_dependent,0.6390000000000001
cell_0035,hoeffding_lcb_delta_0_2,3,0.1,4,3,prior_dependent,0.0
cell_0035,hoeffding_ucb_delta_0_2,3,0.1,4,3,prior_dependent,0.6390000000000001
cell_0036,raw_trl,3,0.1,4,4,lucky_only,0.6390000000000001
cell_0036,trl_log,3,0.1,4,4,lucky_only,0.6390000000000001
cell_0036,empirical_transition_dp,3,0.1,4,4,lucky_only,0.6390000000000001
cell_0036,empirical_risky_value,3,0.1,4,4,lucky_only,0.6390000000000001
cell_0036,posterior_mean_beta_1_1,3,0.1,4,4,lucky_only,0.6390000000000001
cell_0036,posterior_lower_q10_beta_1_1,3,0.1,4,4,lucky_only,0.0
cell_0036,posterior_upper_q90_beta_1_1,3,0.1,4,4,lucky_only,0.6390000000000001
cell_0036,hoeffding_lcb_delta_0_2,3,0.1,4,4,lucky_only,0.0
cell_0036,hoeffding_ucb_delta_0_2,3,0.1,4,4,lucky_only,0.6390000000000001
cell_0037,raw_trl,3,0.1,8,0,no_success,0.0
cell_0037,trl_log,3,0.1,8,0,no_success,0.0
cell_0037,empirical_transition_dp,3,0.1,8,0,no_success,0.0
cell_0037,empirical_risky_value,3,0.1,8,0,no_success,0.0
cell_0037,posterior_mean_beta_1_1,3,0.1,8,0,no_success,0.0
cell_0037,posterior_lower_q10_beta_1_1,3,0.1,8,0,no_success,0.0
cell_0037,posterior_upper_q90_beta_1_1,3,0.1,8,0,no_success,0.0
cell_0037,hoeffding_lcb_delta_0_2,3,0.1,8,0,no_success,0.0
cell_0037,hoeffding_ucb_delta_0_2,3,0.1,8,0,no_success,0.0
cell_0038,raw_trl,3,0.1,8,1,matched_identifiable,0.6390000000000001
cell_0038,trl_log,3,0.1,8,1,matched_identifiable,0.0
cell_0038,empirical_transition_dp,3,0.1,8,1,matched_identifiable,0.0
cell_0038,empirical_risky_value,3,0.1,8,1,matched_identifiable,0.0
cell_0038,posterior_mean_beta_1_1,3,0.1,8,1,matched_identifiable,0.0
cell_0038,posterior_lower_q10_beta_1_1,3,0.1,8,1,matched_identifiable,0.0
cell_0038,posterior_upper_q90_beta_1_1,3,0.1,8,1,matched_identifiable,0.0
cell_0038,hoeffding_lcb_delta_0_2,3,0.1,8,1,matched_identifiable,0.0
cell_0038,hoeffding_ucb_delta_0_2,3,0.1,8,1,matched_identifiable,0.0
cell_0039,raw_trl,3,0.1,8,2,identifiable,0.6390000000000001
cell_0039,trl_log,3,0.1,8,2,identifiable,0.0
cell_0039,empirical_transition_dp,3,0.1,8,2,identifiable,0.0
cell_0039,empirical_risky_value,3,0.1,8,2,identifiable,0.0
cell_0039,posterior_mean_beta_1_1,3,0.1,8,2,identifiable,0.0
cell_0039,posterior_lower_q10_beta_1_1,3,0.1,8,2,identifiable,0.0
cell_0039,posterior_upper_q90_beta_1_1,3,0.1,8,2,identifiable,0.0
cell_0039,hoeffding_lcb_delta_0_2,3,0.1,8,2,identifiable,0.0
cell_0039,hoeffding_ucb_delta_0_2,3,0.1,8,2,identifiable,0.0
cell_0040,raw_trl,3,0.1,8,3,identifiable,0.6390000000000001
cell_0040,trl_log,3,0.1,8,3,identifiable,0.0
