cell_id,method,safe_length,true_risky_success_prob,risky_samples,observed_successes,classification,policy_regret
cell_0001,raw_trl,2,0.1,4,0,no_success,0.0
cell_0001,trl_log,2,0.1,4,0,no_success,0.0
cell_0001,empirical_transition_dp,2,0.1,4,0,no_success,0.0
cell_0001,empirical_risky_value,2,0.1,4,0,no_success,0.0
cell_0001,posterior_mean_beta_1_1,2,0.1,4,0,no_success,0.0
cell_0001,posterior_lower_q10_beta_1_1,2,0.1,4,0,no_success,0.0
cell_0001,posterior_upper_q90_beta_1_1,2,0.1,4,0,no_success,0.0
cell_0001,hoeffding_lcb_delta_0_2,2,0.1,4,0,no_success,0.0
cell_0001,hoeffding_ucb_delta_0_2,2,0.1,4,0,no_success,0.0
cell_0002,raw_trl,2,0.1,4,1,matched_identifiable,0.7200000000000001
cell_0002,trl_log,2,0.1,4,1,matched_identifiable,0.0
cell_0002,empirical_transition_dp,2,0.1,4,1,matched_identifiable,0.0
cell_0002,empirical_risky_value,2,0.1,4,1,matched_identifiable,0.0
cell_0002,posterior_mean_beta_1_1,2,0.1,4,1,matched_identifiable,0.0
cell_0002,posterior_lower_q10_beta_1_1,2,0.1,4,1,matched_identifiable,0.0
cell_0002,posterior_upper_q90_beta_1_1,2,0.1,4,1,matched_identifiable,0.0
cell_0002,hoeffding_lcb_delta_0_2,2,0.1,4,1,matched_identifiable,0.0
cell_0002,hoeffding_ucb_delta_0_2,2,0.1,4,1,matched_identifiable,0.0
cell_0003,raw_trl,2,0.1,4,2,ambiguous,0.7200000000000001
cell_0003,trl_log,2,0.1,4,2,ambiguous,0.0
cell_0003,empirical_transition_dp,2,0.1,4,2,ambiguous,0.0
cell_0003,empirical_risky_value,2,0.1,4,2,ambiguous,0.0
cell_0003,posterior_mean_beta_1_1,2,0.1,4,2,ambiguous,0.0
cell_0003,posterior_lower_q10_beta_1_1,2,0.1,4,2,ambiguous,0.0
cell_0003,posterior_upper_q90_beta_1_1,2,0.1,4,2,ambiguous,0.0
cell_0003,hoeffding_lcb_delta_0_2,2,0.1,4,2,ambiguous,0.0
cell_0003,hoeffding_ucb_delta_0_2,2,0.1,4,2,ambiguous,0.7200000000000001
cell_0004,raw_trl,2,0.1,4,3,ambiguous,0.7200000000000001
cell_0004,trl_log,2,0.1,4,3,ambiguous,0.0
cell_0004,empirical_transition_dp,2,0.1,4,3,ambiguous,0.0
cell_0004,empirical_risky_value,2,0.1,4,3,ambiguous,0.0
cell_0004,posterior_mean_beta_1_1,2,0.1,4,3,ambiguous,0.0
cell_0004,posterior_lower_q10_beta_1_1,2,0.1,4,3,ambiguous,0.0
cell_0004,posterior_upper_q90_beta_1_1,2,0.1,4,3,ambiguous,0.0
cell_0004,hoeffding_lcb_delta_0_2,2,0.1,4,3,ambiguous,0.0
cell_0004,hoeffding_ucb_delta_0_2,2,0.1,4,3,ambiguous,0.7200000000000001
cell_0005,raw_trl,2,0.1,4,4,lucky_only,0.7200000000000001
cell_0005,trl_log,2,0.1,4,4,lucky_only,0.7200000000000001
cell_0005,empirical_transition_dp,2,0.1,4,4,lucky_only,0.7200000000000001
cell_0005,empirical_risky_value,2,0.1,4,4,lucky_only,0.7200000000000001
cell_0005,posterior_mean_beta_1_1,2,0.1,4,4,lucky_only,0.0
cell_0005,posterior_lower_q10_beta_1_1,2,0.1,4,4,lucky_only,0.0
cell_0005,posterior_upper_q90_beta_1_1,2,0.1,4,4,lucky_only,0.7200000000000001
cell_0005,hoeffding_lcb_delta_0_2,2,0.1,4,4,lucky_only,0.0
cell_0005,hoeffding_ucb_delta_0_2,2,0.1,4,4,lucky_only,0.7200000000000001
cell_0006,raw_trl,2,0.1,8,0,no_success,0.0
cell_0006,trl_log,2,0.1,8,0,no_success,0.0
cell_0006,empirical_transition_dp,2,0.1,8,0,no_success,0.0
cell_0006,empirical_risky_value,2,0.1,8,0,no_success,0.0
cell_0006,posterior_mean_beta_1_1,2,0.1,8,0,no_success,0.0
cell_0006,posterior_lower_q10_beta_1_1,2,0.1,8,0,no_success,0.0
cell_0006,posterior_upper_q90_beta_1_1,2,0.1,8,0,no_success,0.0
cell_0006,hoeffding_lcb_delta_0_2,2,0.1,8,0,no_success,0.0
cell_0006,hoeffding_ucb_delta_0_2,2,0.1,8,0,no_success,0.0
cell_0007,raw_trl,2,0.1,8,1,matched_identifiable,0.7200000000000001
cell_0007,trl_log,2,0.1,8,1,matched_identifiable,0.0
cell_0007,empirical_transition_dp,2,0.1,8,1,matched_identifiable,0.0
cell_0007,empirical_risky_value,2,0.1,8,1,matched_identifiable,0.0
cell_0007,posterior_mean_beta_1_1,2,0.1,8,1,matched_identifiable,0.0
cell_0007,posterior_lower_q10_beta_1_1,2,0.1,8,1,matched_identifiable,0.0
cell_0007,posterior_upper_q90_beta_1_1,2,0.1,8,1,matched_identifiable,0.0
cell_0007,hoeffding_lcb_delta_0_2,2,0.1,8,1,matched_identifiable,0.0
cell_0007,hoeffding_ucb_delta_0_2,2,0.1,8,1,matched_identifiable,0.0
cell_0008,raw_trl,2,0.1,8,2,identifiable,0.7200000000000001
cell_0008,trl_log,2,0.1,8,2,identifiable,0.0
cell_0008,empirical_transition_dp,2,0.1,8,2,identifiable,0.0
cell_0008,empirical_risky_value,2,0.1,8,2,identifiable,0.0
cell_0008,posterior_mean_beta_1_1,2,0.1,8,2,identifiable,0.0
cell_0008,posterior_lower_q10_beta_1_1,2,0.1,8,2,identifiable,0.0
cell_0008,posterior_upper_q90_beta_1_1,2,0.1,8,2,identifiable,0.0
cell_0008,hoeffding_lcb_delta_0_2,2,0.1,8,2,identifiable,0.0
cell_0008,hoeffding_ucb_delta_0_2,2,0.1,8,2,identifiable,0.0
cell_0009,raw_trl,2,0.1,8,3,identifiable,0.7200000000000001
cell_0009,trl_log,2,0.1,8,3,identifiable,0.0
cell_0009,empirical_transition_dp,2,0.1,8,3,identifiable,0.0
cell_0009,empirical_risky_value,2,0.1,8,3,identifiable,0.0
cell_0009,posterior_mean_beta_1_1,2,0.1,8,3,identifiable,0.0
cell_0009,posterior_lower_q10_beta_1_1,2,0.1,8,3,identifiable,0.0
cell_0009,posterior_upper_q90_beta_1_1,2,0.1,8,3,identifiable,0.0
cell_0009,hoeffding_lcb_delta_0_2,2,0.1,8,3,identifiable,0.0
cell_0009,hoeffding_ucb_delta_0_2,2,0.1,8,3,identifiable,0.0
cell_0010,raw_trl,2,0.1,8,4,identifiable,0.7200000000000001
cell_0010,trl_log,2,0.1,8,4,identifiable,0.0
cell_0010,empirical_transition_dp,2,0.1,8,4,identifiable,0.0
cell_0010,empirical_risky_value,2,0.1,8,4,identifiable,0.0
cell_0010,posterior_mean_beta_1_1,2,0.1,8,4,identifiable,0.0
cell_0010,posterior_lower_q10_beta_1_1,2,0.1,8,4,identifiable,0.0
cell_0010,posterior_upper_q90_beta_1_1,2,0.1,8,4,identifiable,0.0
cell_0010,hoeffding_lcb_delta_0_2,2,0.1,8,4,identifiable,0.0
cell_0010,hoeffding_ucb_delta_0_2,2,0.1,8,4,identifiable,0.0
cell_0011,raw_trl,2,0.1,8,5,ambiguous,0.7200000000000001
cell_0011,trl_log,2,0.1,8,5,ambiguous,0.0
cell_0011,empirical_transition_dp,2,0.1,8,5,ambiguous,0.0
cell_0011,empirical_risky_value,2,0.1,8,5,ambiguous,0.0
cell_0011,posterior_mean_beta_1_1,2,0.1,8,5,ambiguous,0.0
cell_0011,posterior_lower_q10_beta_1_1,2,0.1,8,5,ambiguous,0.0
cell_0011,posterior_upper_q90_beta_1_1,2,0.1,8,5,ambiguous,0.0
cell_0011,hoeffding_lcb_delta_0_2,2,0.1,8,5,ambiguous,0.0
cell_0011,hoeffding_ucb_delta_0_2,2,0.1,8,5,ambiguous,0.7200000000000001
cell_0012,raw_trl,2,0.1,8,6,ambiguous,0.7200000000000001
cell_0012,trl_log,2,0.1,8,6,ambiguous,0.0
cell_0012,empirical_transition_dp,2,0.1,8,6,ambiguous,0.0
cell_0012,empirical_risky_value,2,0.1,8,6,ambiguous,0.0
cell_0012,posterior_mean_beta_1_1,2,0.1,8,6,ambiguous,0.0
cell_0012,posterior_lower_q10_beta_1_1,2,0.1,8,6,ambiguous,0.0
cell_0012,posterior_upper_q90_beta_1_1,2,0.1,8,6,ambiguous,0.0
cell_0012,hoeffding_lcb_delta_0_2,2,0.1,8,6,ambiguous,0.0
cell_0012,hoeffding_ucb_delta_0_2,2,0.1,8,6,ambiguous,0.7200000000000001
cell_0013,raw_trl,2,0.1,8,7,prior_dependent,0.7200000000000001
cell_0013,trl_log,2,0.1,8,7,prior_dependent,0.0
cell_0013,empirical_transition_dp,2,0.1,8,7,prior_dependent,0.0
cell_0013,empirical_risky_value,2,0.1,8,7,prior_dependent,0.0
cell_0013,posterior_mean_beta_1_1,2,0.1,8,7,prior_dependent,0.0
cell_0013,posterior_lower_q10_beta_1_1,2,0.1,8,7,prior_dependent,0.0
cell_0013,posterior_upper_q90_beta_1_1,2,0.1,8,7,prior_dependent,0.7200000000000001
cell_0013,hoeffding_lcb_delta_0_2,2,0.1,8,7,prior_dependent,0.0
cell_0013,hoeffding_ucb_delta_0_2,2,0.1,8,7,prior_dependent,0.7200000000000001
cell_0014,raw_trl,2,0.1,8,8,lucky_only,0.7200000000000001
cell_0014,trl_log,2,0.1,8,8,lucky_only,0.7200000000000001
cell_0014,empirical_transition_dp,2,0.1,8,8,lucky_only,0.7200000000000001
cell_0014,empirical_risky_value,2,0.1,8,8,lucky_only,0.7200000000000001
cell_0014,posterior_mean_beta_1_1,2,0.1,8,8,lucky_only,0.0
cell_0014,posterior_lower_q10_beta_1_1,2,0.1,8,8,lucky_only,0.0
cell_0014,posterior_upper_q90_beta_1_1,2,0.1,8,8,lucky_only,0.7200000000000001
cell_0014,hoeffding_lcb_delta_0_2,2,0.1,8,8,lucky_only,0.0
cell_0014,hoeffding_ucb_delta_0_2,2,0.1,8,8,lucky_only,0.7200000000000001
cell_0015,raw_trl,2,0.1,16,0,no_success,0.0
cell_0015,trl_log,2,0.1,16,0,no_success,0.0
cell_0015,empirical_transition_dp,2,0.1,16,0,no_success,0.0
cell_0015,empirical_risky_value,2,0.1,16,0,no_success,0.0
cell_0015,posterior_mean_beta_1_1,2,0.1,16,0,no_success,0.0
cell_0015,posterior_lower_q10_beta_1_1,2,0.1,16,0,no_success,0.0
cell_0015,posterior_upper_q90_beta_1_1,2,0.1,16,0,no_success,0.0
cell_0015,hoeffding_lcb_delta_0_2,2,0.1,16,0,no_success,0.0
cell_0015,hoeffding_ucb_delta_0_2,2,0.1,16,0,no_success,0.0
cell_0016,raw_trl,2,0.1,16,1,matched_identifiable,0.7200000000000001
cell_0016,trl_log,2,0.1,16,1,matched_identifiable,0.0
cell_0016,empirical_transition_dp,2,0.1,16,1,matched_identifiable,0.0
cell_0016,empirical_risky_value,2,0.1,16,1,matched_identifiable,0.0
cell_0016,posterior_mean_beta_1_1,2,0.1,16,1,matched_identifiable,0.0
cell_0016,posterior_lower_q10_beta_1_1,2,0.1,16,1,matched_identifiable,0.0
cell_0016,posterior_upper_q90_beta_1_1,2,0.1,16,1,matched_identifiable,0.0
cell_0016,hoeffding_lcb_delta_0_2,2,0.1,16,1,matched_identifiable,0.0
cell_0016,hoeffding_ucb_delta_0_2,2,0.1,16,1,matched_identifiable,0.0
cell_0017,raw_trl,2,0.1,16,2,matched_identifiable,0.7200000000000001
cell_0017,trl_log,2,0.1,16,2,matched_identifiable,0.0
cell_0017,empirical_transition_dp,2,0.1,16,2,matched_identifiable,0.0
cell_0017,empirical_risky_value,2,0.1,16,2,matched_identifiable,0.0
cell_0017,posterior_mean_beta_1_1,2,0.1,16,2,matched_identifiable,0.0
cell_0017,posterior_lower_q10_beta_1_1,2,0.1,16,2,matched_identifiable,0.0
cell_0017,posterior_upper_q90_beta_1_1,2,0.1,16,2,matched_identifiable,0.0
cell_0017,hoeffding_lcb_delta_0_2,2,0.1,16,2,matched_identifiable,0.0
cell_0017,hoeffding_ucb_delta_0_2,2,0.1,16,2,matched_identifiable,0.0
cell_0018,raw_trl,2,0.1,16,3,matched_identifiable,0.7200000000000001
cell_0018,trl_log,2,0.1,16,3,matched_identifiable,0.0
cell_0018,empirical_transition_dp,2,0.1,16,3,matched_identifiable,0.0
cell_0018,empirical_risky_value,2,0.1,16,3,matched_identifiable,0.0
cell_0018,posterior_mean_beta_1_1,2,0.1,16,3,matched_identifiable,0.0
cell_0018,posterior_lower_q10_beta_1_1,2,0.1,16,3,matched_identifiable,0.0
cell_0018,posterior_upper_q90_beta_1_1,2,0.1,16,3,matched_identifiable,0.0
cell_0018,hoeffding_lcb_delta_0_2,2,0.1,16,3,matched_identifiable,0.0
cell_0018,hoeffding_ucb_delta_0_2,2,0.1,16,3,matched_identifiable,0.0
cell_0019,raw_trl,2,0.1,16,4,identifiable,0.7200000000000001
cell_0019,trl_log,2,0.1,16,4,identifiable,0.0
cell_0019,empirical_transition_dp,2,0.1,16,4,identifiable,0.0
cell_0019,empirical_risky_value,2,0.1,16,4,identifiable,0.0
cell_0019,posterior_mean_beta_1_1,2,0.1,16,4,identifiable,0.0
cell_0019,posterior_lower_q10_beta_1_1,2,0.1,16,4,identifiable,0.0
cell_0019,posterior_upper_q90_beta_1_1,2,0.1,16,4,identifiable,0.0
cell_0019,hoeffding_lcb_delta_0_2,2,0.1,16,4,identifiable,0.0
cell_0019,hoeffding_ucb_delta_0_2,2,0.1,16,4,identifiable,0.0
cell_0020,raw_trl,2,0.1,16,5,identifiable,0.7200000000000001
cell_0020,trl_log,2,0.1,16,5,identifiable,0.0
cell_0020,empirical_transition_dp,2,0.1,16,5,identifiable,0.0
cell_0020,empirical_risky_value,2,0.1,16,5,identifiable,0.0
cell_0020,posterior_mean_beta_1_1,2,0.1,16,5,identifiable,0.0
cell_0020,posterior_lower_q10_beta_1_1,2,0.1,16,5,identifiable,0.0
cell_0020,posterior_upper_q90_beta_1_1,2,0.1,16,5,identifiable,0.0
cell_0020,hoeffding_lcb_delta_0_2,2,0.1,16,5,identifiable,0.0
cell_0020,hoeffding_ucb_delta_0_2,2,0.1,16,5,identifiable,0.0
cell_0021,raw_trl,2,0.1,16,6,identifiable,0.7200000000000001
cell_0021,trl_log,2,0.1,16,6,identifiable,0.0
cell_0021,empirical_transition_dp,2,0.1,16,6,identifiable,0.0
cell_0021,empirical_risky_value,2,0.1,16,6,identifiable,0.0
cell_0021,posterior_mean_beta_1_1,2,0.1,16,6,identifiable,0.0
cell_0021,posterior_lower_q10_beta_1_1,2,0.1,16,6,identifiable,0.0
