behavior,gamma,seed,coverage_bin,coverage_adequate,right_reward_events_per_10000,g_plus_events_per_10000,target_mean_abs_error,target_mean_mc_tolerance,target_mean_within_mc_tolerance,soft_mean_bellman_residual,sampled_mean_bellman_residual,soft_mean_value_error,sampled_mean_value_error,soft_greedy_raw_return,sampled_greedy_raw_return
uniform_random,0.95,0,starved,False,12.133333333333335,1.6,7.127245212291966e-05,0.0002871255716621002,True,0.004849011917693404,0.005289120066203082,0.14911204456062627,0.1930988123970447,78.93,2.000000000000001
uniform_random,0.95,1,starved,False,10.266666666666666,2.3333333333333335,1.0521138024431609e-05,0.0002991640798974248,True,0.004858097760573718,0.009629039484986737,0.16704574244521972,0.17011320736118354,80.96,81.16
uniform_random,0.95,2,starved,False,13.133333333333333,2.666666666666667,7.489695230415705e-05,0.0003238825458655654,True,0.005067713291036237,0.007615563809200795,0.14640471750525366,0.1784587742060505,79.85,79.92
uniform_random,0.95,3,starved,False,12.666666666666666,2.8666666666666667,0.0001063824950731096,0.000460001748741606,True,0.004483070974699629,0.005180818473189329,0.1345913525157271,0.09239539254563119,80.41,78.7
uniform_random,0.95,4,starved,False,9.200000000000001,2.0,6.129552519579251e-07,0.0002495270896967243,True,0.004641818845450098,0.005212638763452384,0.18046929645174578,0.25607768912645607,79.67,80.4
uniform_random,0.95,5,starved,False,10.933333333333334,1.8666666666666667,3.125041232695386e-05,0.0002811928806485906,True,0.004609497054067226,0.009753553215855146,0.1639445325517562,0.18385786328528586,79.37,79.65
uniform_random,0.95,6,starved,False,10.8,1.6666666666666665,4.3232372314294665e-05,0.0003031626532506796,True,0.004046258925798798,0.005597534359635219,0.15903496781248297,0.21280801180047856,80.38,79.28
uniform_random,0.95,7,starved,False,9.866666666666667,2.4,5.0248686979781354e-05,0.00026301176312977325,True,0.00411057261588246,0.010592293636429823,0.16185877514278627,0.20015939163265226,79.28,2.000000000000001
uniform_random,0.95,8,starved,False,13.066666666666666,2.8666666666666667,0.00011524583864205851,0.00039658783810486253,True,0.005641237019092139,0.007338155959165468,0.13207645810212568,0.09976314551697237,80.63,79.88
uniform_random,0.95,9,starved,False,11.6,2.466666666666667,7.0296089331040035e-06,0.00034683487676483784,True,0.004498858800295665,0.008141415309555826,0.14737424660854678,0.12219124523634044,81.03,81.65
uniform_random,0.99,0,starved,False,12.333333333333332,0.6666666666666667,3.77856057802578e-05,0.00019108565494559268,True,0.0016494818443419448,0.0020013944152842155,0.3426745894125966,0.2555050741685266,78.93,0.0
uniform_random,0.99,1,starved,False,11.733333333333333,0.4666666666666667,1.9279181260878353e-05,0.00014154222539427584,True,0.0013294223167957641,0.0022452937327912224,0.3410067793577556,0.2833042419102411,80.96,81.16
uniform_random,0.99,2,starved,False,11.333333333333334,0.2,4.263528522795157e-05,0.00011508904572586656,True,0.0012839090247565611,0.006517239772601411,0.343859360329297,0.33050689603156425,79.85,2.000000000000001
uniform_random,0.99,3,starved,False,9.266666666666667,0.33333333333333337,2.6512083010674092e-05,0.0001304862910190572,True,0.0013141846228753862,0.003189688760701743,0.3522747325695292,0.29932961205473746,80.41,2.000000000000001
uniform_random,0.99,4,starved,False,9.933333333333332,0.33333333333333337,2.25594595291978e-05,0.00012596192461948895,True,0.001256286198100462,0.004931827269620409,0.3490861946603166,0.2899985854022566,79.67,0.0
