behavior,gamma,seed,transition,right_reward_events_per_10000,g_plus_events_per_10000,target_mean_abs_error,target_mean_mc_tolerance,soft_mean_bellman_residual,sampled_mean_bellman_residual,soft_mean_value_error,sampled_mean_value_error
uniform_random,0.95,0,1000,0.0,0.0,0.00014900000000000002,0.0023154520077082186,0.004744646783856899,0.004208333333333337,0.3024942598891604,0.3042887812677791
uniform_random,0.95,0,5000,10.0,4.0,0.0002173179748115213,0.0012643138102466744,0.005010176501749579,0.006240756575280122,0.2977973139111496,0.28948311098937446
uniform_random,0.95,0,10000,14.0,2.0,2.0404877402485644e-05,0.0009156103040392623,0.004829142635385006,0.005788295235812763,0.2936399057274836,0.2895277164627905
uniform_random,0.95,0,25000,11.999999999999998,2.0,3.974144690664996e-05,0.0006019380702193116,0.005764777287136109,0.005729311814825969,0.2813237083521693,0.277018794970962
uniform_random,0.95,0,50000,10.8,1.8,9.025484706971787e-06,0.00042407660213585215,0.0058217739701628595,0.006124119924681805,0.25511338560173047,0.2670883582813574
uniform_random,0.95,0,100000,11.2,1.6,2.847501198849009e-05,0.00030334468339372625,0.005642122134486671,0.007376611893728063,0.19449937162485442,0.2252934657058665
uniform_random,0.95,0,150000,12.133333333333335,1.6,7.127245212291966e-05,0.0002871255716621002,0.004849011917693404,0.005289120066203082,0.14911204456062627,0.1930988123970447
uniform_random,0.95,1,1000,0.0,20.0,0.0019053831450559638,0.002469681911875479,0.004722499791534166,0.014801170939030094,0.30257636573597885,0.288981215211125
uniform_random,0.95,1,5000,4.0,4.0,0.000233644101655113,0.0013950647320696554,0.005163017115493637,0.010805895400875573,0.29833166200627553,0.27824590688498985
uniform_random,0.95,1,10000,8.0,2.0,5.75717474961962e-06,0.0009660646592717451,0.004648228494863163,0.00840801134488778,0.2956521761575232,0.2841800428791795
uniform_random,0.95,1,25000,10.0,2.8,0.00012379460216747212,0.0006520913515380163,0.005693535354609015,0.010901433134908907,0.28961829038801884,0.2531809747450733
uniform_random,0.95,1,50000,12.4,2.5999999999999996,9.439700913405069e-05,0.0004652751683107188,0.006644075181727858,0.006539857378225243,0.2522128000294585,0.25904503745277496
uniform_random,0.95,1,100000,10.9,2.3000000000000003,3.278147615200233e-06,0.00032593121125717474,0.0052954101943011615,0.008160954482677256,0.20632238743617562,0.2199637338887176
uniform_random,0.95,1,150000,10.266666666666666,2.3333333333333335,1.0521138024431609e-05,0.0002991640798974248,0.004858097760573718,0.009629039484986737,0.16704574244521972,0.17011320736118354
uniform_random,0.95,2,1000,0.0,10.0,0.0008599785114570511,0.0027069177407971325,0.004774204699869861,0.008460743483543256,0.3024974022548353,0.29143318330895535
uniform_random,0.95,2,5000,0.0,4.0,0.0001419657459986734,0.0011943129200361496,0.005120847597210225,0.007655086492648063,0.2986827676162882,0.2879056502619454
uniform_random,0.95,2,10000,9.0,2.0,0.00010595040737090833,0.000905187210625731,0.004652868312994943,0.00617760592546359,0.29533198779067976,0.2923208179501347
uniform_random,0.95,2,25000,10.8,2.0,1.4691817577936611e-05,0.0005779740345356145,0.005523363718588231,0.0046510654262362575,0.2858808978116887,0.27662595891246633
uniform_random,0.95,2,50000,13.0,2.8,3.624373990296359e-05,0.00045092694772892543,0.006786934448639976,0.0075943259848251605,0.25059452336921023,0.23940091269514996
uniform_random,0.95,2,100000,12.899999999999999,2.9,0.00015374326338879474,0.0003742735522942819,0.00531829180460967,0.005249843112089602,0.19325442541253568,0.1905207498418765
uniform_random,0.95,2,150000,13.133333333333333,2.666666666666667,7.489695230415705e-05,0.0003238825458655654,0.005067713291036237,0.007615563809200795,0.14640471750525366,0.1784587742060505
