seed,variant,adequate_coverage,visited_state_action_fraction,min_state_action_count,reward_event_count,value_error,value_error_delta,bellman_residual,bellman_residual_delta,policy_disagreement,real_goal_value_error,goal_success_rate,mean_aux_to_gplus_u_grad_norm_ratio
0,terminal_only,True,1.0,20,62,0.44353120519511435,0.0,0.002135592444922349,0.0,0.5454545454545454,0.018102281237496905,0.026923076923076928,0.0
0,combined_lambda_1_reproduction,True,1.0,20,62,16.37277608850379,15.929244883308677,0.027257880894678333,0.025122288449755985,0.5909090909090909,0.9187893160343847,0.0019230769230769232,5.39111712429603
0,combined_loss_balanced,True,1.0,20,62,0.11587757140470967,-0.3276536337904047,0.0017140598196514448,-0.00042153262527090413,0.8181818181818182,0.8031594787998341,0.0038461538461538464,712.0195448360254
0,staged_real_goal_pretrain_then_gplus_finetune,True,1.0,20,62,18.32073196349452,17.877200758299406,0.03855071989765305,0.036415127452730706,0.8235294117647058,0.8933676947421619,0.001282051282051282,0.0
1,terminal_only,True,1.0,17,56,0.01210508378177425,0.0,0.0004839111787181688,0.0,0.0,0.01866566062227057,0.05769230769230769,0.0
1,combined_lambda_1_reproduction,True,1.0,17,56,17.649002264416232,17.63689718063446,0.03316758565048915,0.03268367447177098,0.7272727272727273,0.918046819358635,0.001282051282051282,3.920377959045133
1,combined_loss_balanced,True,1.0,17,56,0.3428522130927423,0.330747129310968,0.0013852342833348696,0.0009013231046167008,0.6363636363636364,0.775686785816592,0.008333333333333335,1108.1639176266901
1,staged_real_goal_pretrain_then_gplus_finetune,True,1.0,17,56,19.268663013969427,19.256557930187654,0.08374927676917725,0.08326536559045908,0.5714285714285714,0.9149901078240361,0.008974358974358974,0.0
2,terminal_only,True,1.0,15,74,0.004178059453048267,0.0,0.00012599854300469356,0.0,0.0,0.01810658453745057,0.058333333333333334,0.0
2,combined_lambda_1_reproduction,True,1.0,15,74,18.134778277607115,18.13060021815407,0.037753440819548366,0.037627442276543674,0.7272727272727273,0.9209796449582464,0.0038461538461538455,4.048815934752797
2,combined_loss_balanced,True,1.0,15,74,18.55635212533602,18.552174065882973,0.048133650897045153,0.04800765235404046,0.7142857142857143,0.9045473354327482,0.01858974358974359,590.3175923057735
2,staged_real_goal_pretrain_then_gplus_finetune,True,1.0,15,74,18.325733785838246,18.3215557263852,0.038821130333619856,0.038695131790615164,0.8333333333333334,0.898375231880961,0.003205128205128205,0.0
3,terminal_only,True,1.0,19,70,0.0003100862169570915,0.0,1.3611355272955673e-05,0.0,0.0,0.018421168093925785,0.04935897435897436,0.0
3,combined_lambda_1_reproduction,True,1.0,19,70,14.537205827330714,14.536895741113756,0.02937304188382982,0.029359430528556864,0.6818181818181818,0.9223466168203737,0.001282051282051282,5.594943863896293
3,combined_loss_balanced,True,1.0,19,70,0.1642061076985865,0.16389602148162943,0.0016839325098254843,0.0016703211545525285,0.5909090909090909,0.6828026485390043,0.01858974358974359,395.018629699723
3,staged_real_goal_pretrain_then_gplus_finetune,True,1.0,19,70,18.426721041318455,18.4264109551015,0.04313346159155927,0.04311985023628632,0.625,0.8843366675069643,0.007692307692307693,0.0
4,terminal_only,True,1.0,15,68,0.05499624381508672,0.0,0.0010880403757156606,0.0,0.045454545454545456,0.0181831402853785,0.0532051282051282,0.0
4,combined_lambda_1_reproduction,True,1.0,15,68,18.335440990942168,18.28044474712708,0.04020354833586361,0.039115507960147955,0.5625,0.9195018521798554,0.005128205128205128,3.621769756125668
4,combined_loss_balanced,True,1.0,15,68,0.15608120145345464,0.10108495763836792,0.002211893683659931,0.0011238533079442705,0.8181818181818182,0.5666792886544739,0.016025641025641024,261.47800111530455
4,staged_real_goal_pretrain_then_gplus_finetune,True,1.0,15,68,18.512211560632373,18.457215316817287,0.04592979283073426,0.044841752455018605,0.75,0.891244650816322,0.001282051282051282,0.0
5,terminal_only,True,1.0,18,76,0.03320357126780739,0.0,0.0013368962410401396,0.0,0.3181818181818182,0.01818243796995434,0.06346153846153846,0.0
5,combined_lambda_1_reproduction,True,1.0,18,76,18.43406684165729,18.400863270389483,0.04457771800620326,0.043240821765163126,0.7142857142857143,0.9183247108788638,0.000641025641025641,3.194089479820577
5,combined_loss_balanced,True,1.0,18,76,16.98356923610379,16.95036566483598,0.024300947496827204,0.022964051255787064,0.5,0.863680451676838,0.01217948717948718,37.53560181539035
5,staged_real_goal_pretrain_then_gplus_finetune,True,1.0,18,76,18.175451162061314,18.142247590793506,0.035887600450723804,0.03455070420968367,0.8333333333333334,0.896801018931495,0.011538461538461539,0.0
6,terminal_only,True,1.0,17,62,0.022237899861752508,0.0,0.0007637412862907888,0.0,0.045454545454545456,0.018622203329293187,0.04038461538461539,0.0
6,combined_lambda_1_reproduction,True,1.0,17,62,18.441528192274927,18.419290292413173,0.04373577161309779,0.042972030326807,0.7272727272727273,0.9204612910099264,0.000641025641025641,3.98931294368574
6,combined_loss_balanced,True,1.0,17,62,0.12969555598276386,0.10745765612101135,0.0018325308402975225,0.0010687895540067338,0.6818181818181818,0.6763839984736327,0.008333333333333333,278.0579050075838
6,staged_real_goal_pretrain_then_gplus_finetune,True,1.0,17,62,19.293676941043053,19.2714390411813,0.08499989334843364,0.08423615206214284,0.16666666666666666,0.9219992566902525,0.0,0.0
7,terminal_only,True,1.0,18,63,0.018338838971957858,0.0,0.001173676838951092,0.0,0.09090909090909091,0.018082572077399526,0.05128205128205128,0.0
7,combined_lambda_1_reproduction,True,1.0,18,63,18.075726737414453,18.057387898442496,0.03565362954607456,0.034479952707123465,0.5714285714285714,0.9204117461033635,0.01346153846153846,3.7759672777413567
7,combined_loss_balanced,True,1.0,18,63,0.20979412546026963,0.19145528648831178,0.0015914095448703266,0.0004177327059192346,0.6818181818181818,0.7219563986686955,0.010897435897435897,526.7196834865946
7,staged_real_goal_pretrain_then_gplus_finetune,True,1.0,18,63,18.362274969735473,18.343936130763517,0.040817705152635164,0.03964402831368407,0.8235294117647058,0.8929619836794487,0.004487179487179487,0.0
8,terminal_only,True,1.0,19,55,0.04238669919840975,0.0,0.0010808704803449373,0.0,0.22727272727272727,0.0180666752333668,0.044230769230769226,0.0
8,combined_lambda_1_reproduction,True,1.0,19,55,10.64407100310681,10.6016843039084,0.03196247582672254,0.030881605346377603,0.6363636363636364,0.9149429806015812,0.0057692307692307696,6.395631552981897
8,combined_loss_balanced,True,1.0,19,55,18.5562220741818,18.51383537498339,0.048127147686896334,0.0470462772065514,0.3333333333333333,0.8579763990828991,0.03397435897435898,467.5176139387886
8,staged_real_goal_pretrain_then_gplus_finetune,True,1.0,19,55,18.543446986585792,18.501060287387382,0.04750958486901132,0.04642871438866639,0.6666666666666666,0.8905253055673801,0.007051282051282051,0.0
9,terminal_only,True,1.0,16,62,0.09993177080060384,0.0,0.0013561473609245448,0.0,0.13636363636363635,0.018762170611528267,0.06794871794871796,0.0
9,combined_lambda_1_reproduction,True,1.0,16,62,18.31408793791533,18.214156167114723,0.040454387025139746,0.039098239664215204,0.7333333333333333,0.9173036606332527,0.003205128205128205,3.491788158072362
9,combined_loss_balanced,True,1.0,16,62,18.555766563830126,18.45583479302952,0.04810437224303098,0.046748224882106434,0.7333333333333333,0.8219470749558604,0.028846153846153844,135.90158153592026
9,staged_real_goal_pretrain_then_gplus_finetune,True,1.0,16,62,18.568672516394145,18.46874074559354,0.04874967211590728,0.047393524754982735,0.42857142857142855,0.8939460833552263,0.005128205128205128,0.0
