gamma,seed,transition,g_plus_events_per_10000,target_mean_abs_error,target_mean_mc_tolerance,sampled_target_population_variance,mean_conditional_sampling_variance,soft_mean_value_error_sufficient,sampled_mean_value_error_sufficient,soft_mean_bellman_residual_sufficient,sampled_mean_bellman_residual_sufficient
0.99,8,50000,95.2,8.012651254496461e-05,0.00037413444860304315,0.015436607353158199,0.00019441192448819882,0.058359768599413865,0.05738448297635955,0.0325044239725404,0.03204783328698681
0.99,8,100000,97.5,4.833980936536086e-06,0.00026414228961141095,0.008182406341749045,0.0001938087476698847,0.0664950461958434,0.06649888738908187,0.04571886268108099,0.046381509980824284
0.99,8,200000,98.25,1.3754290528744662e-06,0.00015788865483215984,0.004224369205096602,0.00013849348513727172,0.045468544167461954,0.047285487157901554,0.037309421624715,0.0393403131583575
0.99,9,1000,70.0,0.0009999183170360526,0.013523443512859768,0.06409671478721611,0.005080097901264137,0.6198425972271313,0.6217181908336038,0.1191919433962282,0.10045294986265237
0.99,9,5000,92.0,0.0002825461887721037,0.003472406276456163,0.08953330412540902,0.0016746674095516885,0.3917592824095775,0.36781050435930124,0.13874799040581656,0.14181637622307763
0.99,9,10000,82.0,0.00048284730716019464,0.002081383958880312,0.05435307303603302,0.0012033775511900776,0.31419411866495967,0.2981826725259704,0.16101110304241364,0.15576971593546965
0.99,9,25000,92.0,6.0267165252092525e-05,0.001084438292419065,0.025260658378284954,0.0008166711181005395,0.1494263542645056,0.14834496255642232,0.10567420013599726,0.1040562868081889
0.99,9,50000,96.60000000000001,0.0001301463137772796,0.0006593067461149192,0.013995594413268374,0.0006037297020453367,0.06486548178996579,0.06682440243694637,0.054710446465499066,0.05661394938054764
0.99,9,100000,97.30000000000001,9.672660759396656e-05,0.00038388739494358106,0.007456908620742585,0.00040935981110158063,0.045092199949869294,0.04922604795327117,0.03248915621683115,0.033063314721710146
0.99,9,200000,97.14999999999999,7.191112378124309e-05,0.00021337760513181144,0.003932359066269847,0.0002529444576210403,0.024483816993865325,0.023822835411768127,0.012641479473832462,0.012803441824949116
0.995,0,1000,40.0,0.0007060903634256155,0.011394581103221101,0.02151443812439441,0.0036065688477189832,0.8494591330409411,0.8740134427032237,0.05963437900657764,0.08239179950492373
0.995,0,5000,28.0,0.000391744862684007,0.0029884262558511026,0.0894764487089767,0.0012403738175917,0.6158709074311478,0.6326736336661322,0.11968676656728061,0.1190112455993619
0.995,0,10000,41.0,0.00037777185792997603,0.00171773148337783,0.07772939323995125,0.0008196115136076111,0.5197778393975454,0.5276409705638528,0.07883929864912428,0.08091772626954843
0.995,0,25000,50.0,0.00016292486478686197,0.0008974579345627458,0.04049074714070904,0.0005593269057705762,0.4565136441619171,0.4623454045019352,0.12357459249879221,0.12641666239374102
0.995,0,50000,47.800000000000004,0.00011464982719222583,0.0005190914326514191,0.022482822040276684,0.00037424432701680944,0.209328861891928,0.211891435897774,0.07511228489262349,0.07628181291584393
0.995,0,100000,53.0,8.77881538885461e-05,0.0002916392332835795,0.01263348138165273,0.00023625956219509476,0.17791590483885436,0.18015814871277713,0.035588951900086666,0.03584882551857369
0.995,0,200000,51.35,3.022538802699426e-05,0.000161465013541139,0.007192923275531292,0.0001448386144324456,0.16879111347456133,0.16899261819094138,0.03229006384388094,0.032775907545572205
0.995,1,1000,60.0,0.0007160493901063325,0.011276851683251885,0.0209021304409217,0.0035324273301683574,0.8576945703154063,0.7472247189675583,0.04588744195482806,0.11311053741148402
0.995,1,5000,50.0,6.823001016620367e-06,0.0029822559516269782,0.11468282709574003,0.0012352570223631296,0.5954241919237641,0.5065302566798635,0.201041984657033,0.21198250658605683
0.995,1,10000,38.0,0.00014667761663178513,0.0016850420910004033,0.08025210873849356,0.0007887130134563922,0.4321763456778226,0.3879487598747848,0.1820611122019791,0.17773464120439642
0.995,1,25000,42.4,4.640007583089911e-05,0.0008829557228542635,0.03844569908909585,0.0005413963948063159,0.3382085562436139,0.3170465831804883,0.11868024358649303,0.12589194722686278
