gamma,seed,g_plus_events_per_10000,target_mean_abs_error,target_mean_mc_tolerance,target_mean_within_mc_tolerance,mean_conditional_sampling_variance,soft_final_value_error,sampled_final_value_error,soft_final_bellman_residual,sampled_final_bellman_residual,soft_dominates,soft_raw_return,sampled_raw_return,soft_success_rate,sampled_success_rate
0.95,0,492.7,7.067457215692574e-05,0.00036124209735127733,True,0.0007249769605486098,0.05562798300834551,0.058677375925412285,0.028748269080356,0.033942888024900454,True,-200.0,-200.0,0.0,0.0
0.95,1,489.25000000000006,9.539175653816567e-05,0.00036828196929548343,True,0.0007535089383786631,0.04601943396204603,0.04906530712982211,0.03308051537486022,0.035911182599966146,True,-200.0,-200.0,0.0,0.0
0.95,2,495.40000000000003,1.2091195422003764e-05,0.0004071936705917705,True,0.0009211482520555519,0.027222975291747865,0.034995895843085566,0.014244173195181141,0.02249350127192138,True,-200.0,-200.0,0.0,0.0
0.95,3,491.45,0.00014360042218752866,0.0004286569715894599,True,0.0010208155516235945,0.077362958756514,0.07242578747416942,0.025086009948550734,0.03425344791105506,False,-200.0,-200.0,0.0,0.0
0.95,4,489.85,1.634708040776367e-05,0.0003578636152675627,True,0.0007114798174020562,0.13370230543477898,0.1252381411959773,0.05432575448926195,0.05998906979042987,False,-200.0,-200.0,0.0,0.0
0.95,5,494.9,5.2107690078351254e-05,0.0004318589478589083,True,0.0010361230602544626,0.07580166237778158,0.0792174200881786,0.03303903122398612,0.039217096527334835,True,-200.0,-200.0,0.0,0.0
0.95,6,483.95,8.045826470826078e-05,0.0004567915178390718,True,0.0011592138376095725,0.07805282497182707,0.08097913624982286,0.03594716018648324,0.0378901266132878,True,-200.0,-200.0,0.0,0.0
0.95,7,491.9,5.1142064263265397e-05,0.0004226826052214048,True,0.0009925588042041884,0.044175341964939316,0.05452256081350315,0.026368105855914786,0.035661577357850076,True,-200.0,-200.0,0.0,0.0
0.95,8,490.05,7.773190528104212e-05,0.0003866986290887455,True,0.0008307546096617508,0.07799292487595508,0.07481216908096364,0.03138698214684563,0.03359331009064849,False,-200.0,-200.0,0.0,0.0
0.95,9,489.0,2.875031188676047e-06,0.00041348701605387723,True,0.0009498417358063298,0.04983243538274265,0.056005148114082345,0.015004253786172731,0.02098454356047487,True,-200.0,-200.0,0.0,0.0
0.99,0,98.05,5.1855379188725514e-05,0.00015916196234365017,True,0.0001407362792060084,0.026261246569143745,0.026820611347950173,0.020129938106317736,0.02079657719584486,True,-200.0,-200.0,0.0,0.0
0.99,1,97.30000000000001,2.3568200722134947e-05,0.00019105418280248055,True,0.0002027872264795759,0.1233143832441846,0.1143248827696833,0.031910870635742564,0.029325066120616403,False,-200.0,-200.0,0.0,0.0
0.99,2,96.39999999999999,1.7864750465612644e-06,0.00022448531780410664,True,0.00027996476616450424,0.02551552543864422,0.02593160263373096,0.02363747616136367,0.02418740275254763,True,-200.0,-200.0,0.0,0.0
0.99,3,99.35,3.38824750697464e-05,0.00020695395199033466,True,0.00023794410135787635,0.0804641450583742,0.08091976535993368,0.05415327268351797,0.05597715295641002,True,-200.0,-200.0,0.0,0.0
0.99,4,98.89999999999999,4.933689516417594e-05,0.00019102003667436713,True,0.00020271474672820314,0.07963204344574265,0.07806318728770753,0.06341565046952345,0.06251955703230197,False,-200.0,-200.0,0.0,0.0
0.99,5,96.95,3.082987729563502e-05,0.00021860910937242023,True,0.00026549968167001545,0.09518685783886963,0.09596424791249823,0.053066042993216676,0.05655303247648213,True,-200.0,-200.0,0.0,0.0
0.99,6,96.10000000000001,1.5316546920107754e-05,0.00021701297441125968,True,0.0002616368392379002,0.14950804503554682,0.1426364071826006,0.03201832767468497,0.035299582764152015,False,-200.0,-200.0,0.0,0.0
0.99,7,95.5,9.062568370199475e-05,0.00022237242077223775,True,0.00027471940844502865,0.057370626202318774,0.06054587933929417,0.053687493165054466,0.05516735050557067,True,-200.0,-200.0,0.0,0.0
0.99,8,98.25,1.3754290528744662e-06,0.00015788865483215984,True,0.00013849348513727172,0.045468544167461954,0.047285487157901554,0.037309421624715,0.0393403131583575,True,-200.0,-200.0,0.0,0.0
0.99,9,97.14999999999999,7.191112378124309e-05,0.00021337760513181144,True,0.0002529444576210403,0.024483816993865325,0.023822835411768127,0.012641479473832462,0.012803441824949116,False,-200.0,-200.0,0.0,0.0
0.995,0,51.35,3.022538802699426e-05,0.000161465013541139,True,0.0001448386144324456,0.16879111347456133,0.16899261819094138,0.03229006384388094,0.032775907545572205,True,-200.0,-200.0,0.0,0.0
0.995,1,47.349999999999994,6.8114317878231745e-06,0.00016436206874332875,True,0.0001500827202310374,0.14274726540333768,0.11272508891463266,0.055137623997320015,0.05757445700729712,False,-200.0,-200.0,0.0,0.0
0.995,2,46.1,2.430343194115281e-05,0.00016606826811071037,True,0.00015321483151828217,0.08297738869324615,0.08011553557798802,0.04559855669228646,0.04479548010209868,False,-200.0,-200.0,0.0,0.0
0.995,3,49.35,8.110365917635143e-06,0.00015604292519933818,True,0.0001352744139153681,0.04636488529498225,0.04636208142858874,0.035106353241796714,0.03515999279339648,False,-200.0,-200.0,0.0,0.0
0.995,4,51.050000000000004,3.0256948815865492e-05,0.00016667490961685104,True,0.00015433625275436367,0.07626663787179155,0.07087481564303084,0.03128166418496973,0.03151112290491673,False,-200.0,-200.0,0.0,0.0
0.995,5,49.4,3.143003497463326e-06,0.000164382088839687,True,0.00015011928406277077,0.06167470566567196,0.06187131327817924,0.025549532977031355,0.026255708274470463,True,-200.0,-200.0,0.0,0.0
0.995,6,52.1,2.341091006530238e-05,0.00016168703456090398,True,0.00014523720636166085,0.13708107592059435,0.14027642624806239,0.11220602400143612,0.11661374791051064,True,-200.0,-200.0,0.0,0.0
0.995,7,48.650000000000006,1.885446877869512e-05,0.0001749096669174052,True,0.00016996328656198684,0.15290872964771388,0.16514823018600405,0.03989488383106625,0.039777420220699036,True,-200.0,-200.0,0.0,0.0
0.995,8,52.0,1.975271907539433e-05,0.00016847865625963838,True,0.00015769476452807436,0.08677593025469768,0.08488574826346788,0.04035124646703162,0.04086409861907695,False,-200.0,-200.0,0.0,0.0
0.995,9,50.35,2.995690994156419e-06,0.00014429389728921462,True,0.00011567071552728005,0.13481063348376968,0.13330578154081413,0.06589692495289325,0.06614990170005564,False,-200.0,-200.0,0.0,0.0
