scenario_id,mdp,regime,method,true_risky_success_prob,observed_risky_successes,observed_risky_failures,observed_risky_success_rate,exact_optimal_action,eval_greedy_action,chose_exact_optimal_action,eval_start_exact_value,eval_start_learned_value,value_mse,long_horizon_value_mse,value_overestimation_error,value_underestimation_error,q_calibration_error,q_overestimation_error,q_underestimation_error,policy_regret,mean_policy_regret,max_policy_regret,risky_action_selection_rate,learned_risky_q,learned_safe_q,exact_risky_q,exact_safe_q
deterministic_chain__chain_regression,deterministic_chain,chain_regression,mc_supervised,,0,0,,right,right,True,0.5904900000000002,0.5904900000000001,2.0543252740130515e-33,3.697785493223493e-33,0.0,1.1102230246251565e-16,0.2638688400000001,0.0,0.7290000000000001,0.0,0.0,0.0,0.0,,,,
deterministic_chain__chain_regression,deterministic_chain,chain_regression,trl_raw,,0,0,,right,right,True,0.5904900000000002,0.5904900000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
deterministic_chain__chain_regression,deterministic_chain,chain_regression,trl_log,,0,0,,right,right,True,0.5904900000000002,0.5904900000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
deterministic_chain__chain_regression,deterministic_chain,chain_regression,mc_plus_trl_log,,0,0,,right,right,True,0.5904900000000002,0.5904900000000002,0.0,0.0,0.0,0.0,0.13193442000000005,0.0,0.36450000000000005,0.0,0.0,0.0,0.0,,,,
safe_optimal__matched,risky_safe_optimal,matched,mc_supervised,0.25,2,6,0.25,safe,safe,True,0.7290000000000001,0.7290000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.7290000000000001,0.225,0.7290000000000001
safe_optimal__matched,risky_safe_optimal,matched,trl_raw,0.25,2,6,0.25,safe,risky,False,0.7290000000000001,0.9,0.0031946399999999986,0.01996649999999999,0.22499999999999998,0.0,0.05625,0.675,0.0,0.5040000000000001,0.07200000000000002,0.5040000000000001,1.0,0.9,0.7290000000000001,0.225,0.7290000000000001
safe_optimal__matched,risky_safe_optimal,matched,trl_log,0.25,2,6,0.25,safe,safe,True,0.7290000000000001,0.7290000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.7290000000000001,0.225,0.7290000000000001
safe_optimal__matched,risky_safe_optimal,matched,mc_plus_trl_log,0.25,2,6,0.25,safe,safe,True,0.7290000000000001,0.7290000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.7290000000000001,0.225,0.7290000000000001
safe_optimal__lucky_biased,risky_safe_optimal,lucky_biased,mc_supervised,0.25,6,2,0.75,safe,safe,True,0.7290000000000001,0.7290000000000001,0.008100000000000003,0.05062500000000002,0.0,0.45000000000000007,0.05625000000000001,0.45000000000000007,0.45000000000000007,0.0,0.0,0.0,0.0,0.675,0.7290000000000001,0.225,0.7290000000000001
safe_optimal__lucky_biased,risky_safe_optimal,lucky_biased,trl_raw,0.25,6,2,0.75,safe,risky,False,0.7290000000000001,0.9,0.0031946399999999986,0.01996649999999999,0.22499999999999998,0.0,0.05625,0.675,0.0,0.5040000000000001,0.07200000000000002,0.5040000000000001,1.0,0.9,0.7290000000000001,0.225,0.7290000000000001
safe_optimal__lucky_biased,risky_safe_optimal,lucky_biased,trl_log,0.25,6,2,0.75,safe,safe,True,0.7290000000000001,0.7290000000000001,0.008100000000000003,0.05062500000000002,0.0,0.45000000000000007,0.05625000000000001,0.45000000000000007,0.45000000000000007,0.0,0.0,0.0,0.0,0.675,0.7290000000000001,0.225,0.7290000000000001
