gamma,seed,g_plus_events_per_10000,right_end_occupancy_rate,right_reward_events_per_10000,target_mean_abs_error,target_mean_mc_tolerance,target_mean_within_mc_tolerance,mean_conditional_sampling_variance,soft_mean_bellman_residual,sampled_mean_bellman_residual,soft_mean_value_error,sampled_mean_value_error,soft_policy_disagreement,sampled_policy_disagreement,soft_greedy_raw_return,sampled_greedy_raw_return
0.99,9,30.500000000000004,0.32721,3066.5,0.000116931314943447,0.0006608521707891729,True,0.002426253286870901,0.002310903060385223,0.009041419141467166,0.0029672465325659516,0.0858126989506219,0.0,0.5,81.03,0.0
0.995,0,15.8,0.32756,3066.15,6.044834164897761e-05,0.0004883450485162766,True,0.0013248938133909138,0.0017631129988570082,0.008601688806926947,0.006363545301317867,0.19485207163286986,0.0,0.0,78.93,79.03
0.995,1,14.75,0.327415,3069.2999999999997,0.00017892634118366058,0.0005052955332147997,True,0.0014184643104823817,0.0030382227643201607,0.011853114338267431,0.007066397411425757,0.24446379130314125,0.0,0.0,80.96,81.16
0.995,2,16.85,0.326115,3060.05,0.00014275053440293561,0.0005060514165344369,True,0.001422711312091723,0.0019465728227819566,0.015057128357639523,0.0027151730616571204,0.22181277484559783,0.0,0.0,79.85,79.92
0.995,3,16.4,0.3287,3076.9,3.1462200157816866e-05,0.0004957488299141933,True,0.0013653716797849542,0.003092958664617035,0.012324274719283676,0.004771788148921856,0.1947706389312116,0.0,0.16666666666666666,80.41,0.0
0.995,4,14.4,0.32518,3047.7999999999997,9.347478981214241e-05,0.000478086316219093,True,0.001269814031977459,0.0023768191017735454,0.009767625491359594,0.003220296858393567,0.17871904970395722,0.16666666666666666,0.3333333333333333,0.0,0.0
0.995,5,16.5,0.327725,3071.7499999999995,6.737720710825457e-05,0.0005060959579510881,True,0.001422961770302386,0.0009444682167987541,0.006077565722816554,0.00323070016298721,0.2110147189226416,0.0,0.16666666666666666,79.37,0.0
0.995,6,15.950000000000001,0.32464,3039.6499999999996,3.342215532475823e-05,0.0004871135056535358,True,0.0013182198188337625,0.0015307258401380623,0.0072825552351606,0.002876973153950325,0.17552400296709023,0.0,0.3333333333333333,80.38,0.0
0.995,7,16.349999999999998,0.32662,3058.8500000000004,5.910762965333216e-05,0.0004906702974533198,True,0.0013375407822384963,0.0020733326175210037,0.017537745620881572,0.002103179841778449,0.21337842806101884,0.0,0.0,79.28,81.54
0.995,8,15.05,0.32346,3030.35,0.00014928403433667192,0.0004808289216238764,True,0.0012844247326109994,0.0019104646316142337,0.013438717673859957,0.0018357172300278168,0.16662922309997089,0.0,0.3333333333333333,80.63,0.0
0.995,9,16.3,0.32704,3066.9,9.593504668214958e-05,0.0005000750918609357,True,0.0013893060972206854,0.0019456445962621565,0.015172932667480663,0.0044996397906669205,0.20650507133175397,0.16666666666666666,0.0,0.0,81.65
