gamma,seed,g_plus_events_per_10000,right_end_occupancy_rate,right_reward_events_per_10000,target_mean_abs_error,target_mean_mc_tolerance,target_mean_within_mc_tolerance,mean_conditional_sampling_variance,soft_mean_bellman_residual,sampled_mean_bellman_residual,soft_mean_value_error,sampled_mean_value_error,soft_policy_disagreement,sampled_policy_disagreement,soft_greedy_raw_return,sampled_greedy_raw_return
0.95,0,154.5,0.32754,3073.5499999999997,0.00016539095241252522,0.001322065741099027,True,0.00971032124326511,0.001607631166094058,0.02113055705408522,0.003482721706994233,0.03294744291365428,0.0,0.0,78.93,79.03
0.95,1,155.5,0.324465,3048.4,9.426106461690731e-05,0.0013201950350757213,True,0.009682860725769914,0.004092538111164251,0.014402695671863646,0.006532495148876202,0.02978981631419239,0.0,0.0,80.96,81.16
0.95,2,153.75,0.323735,3042.45,0.00016763072386344335,0.0013213029368518256,True,0.00969911917185144,0.003214669378150676,0.019177610504717044,0.005352481275749318,0.024469319749351803,0.0,0.16666666666666666,79.85,2.000000000000001
0.95,3,154.25,0.326145,3056.05,0.00010139414054888274,0.0013227398604120008,True,0.009720226324015329,0.004233085845710131,0.015139848067767287,0.006347391950686276,0.02049733395054701,0.0,0.0,80.41,78.7
0.95,4,152.2,0.324965,3046.95,1.2710839764062953e-07,0.0013226490201769785,True,0.0097188912809729,0.0033318553795202064,0.012555306737534988,0.0074730190820780544,0.014674477652546711,0.0,0.0,79.67,80.4
0.95,5,155.1,0.32506,3047.7999999999997,0.00011903803401980273,0.0013216800752009295,True,0.009704656784350745,0.0033418282236571347,0.010812316726998311,0.008736631590984242,0.015616171786577253,0.0,0.16666666666666666,79.37,0.0
0.95,6,149.75,0.32717,3071.85,2.0039898116164245e-05,0.0013253996900929616,True,0.00975935743610288,0.003543487571441415,0.012811309892296195,0.005367209160675519,0.011060780268302511,0.0,0.16666666666666666,80.38,2.000000000000001
0.95,7,152.2,0.32577,3053.2999999999997,4.189948212629524e-05,0.0013257248338465904,True,0.009764146305986498,0.00369432506469744,0.017813634756405048,0.008477732431905536,0.028993153948994085,0.0,0.0,79.28,81.54
0.95,8,154.75,0.32716,3073.4,0.00015473628679180118,0.0013187309933177676,True,0.009661396848538142,0.003993477922982121,0.020613329460999915,0.005536685018686857,0.03382208826165207,0.0,0.16666666666666666,80.63,0.0
0.95,9,151.15,0.32652,3059.6,0.00013177777968897963,0.0013251846451696517,True,0.009756190798852312,0.0032914655952649466,0.011163391738897284,0.003512145094812335,0.02905425285126416,0.0,0.0,81.03,81.65
0.99,0,29.099999999999998,0.32422,3044.75,8.296766832383007e-05,0.0006550903083364216,True,0.0023841295115350444,0.002119405510318015,0.005573059029830856,0.004660825928999621,0.10794470572047359,0.0,0.0,78.93,79.03
0.99,1,32.25,0.326245,3058.5,8.634309608734902e-06,0.0006620946135047744,True,0.002435384873511314,0.0014263322802699947,0.009464925619660452,0.0035985098005001013,0.12700213847954842,0.0,0.16666666666666666,80.96,0.0
0.99,2,29.55,0.32583,3054.0,0.00023088982920149714,0.0006535014488211265,True,0.0023725785756183978,0.0014161318815773677,0.012369584076101106,0.0037549538562097425,0.09433383571087656,0.0,0.0,79.85,79.92
0.99,3,32.05,0.32722,3072.95,4.757097024749024e-05,0.0006603732142257732,True,0.0024227376781493274,0.0012151621234116154,0.014718523239130926,0.004046814080785259,0.10530589084046356,0.0,0.0,80.41,78.7
0.99,4,32.6,0.32699,3066.7,7.082635450650354e-05,0.0006636748515536651,True,0.002447023936582108,0.001911569249509452,0.008814628956351924,0.002172909527743197,0.11679425186273917,0.0,0.0,79.67,80.4
0.99,5,30.15,0.32603,3059.1000000000004,1.080778227968704e-05,0.0006665189713211418,True,0.002468041884061073,0.0028270746071610148,0.007176498507391947,0.005288829183834484,0.12201548462860616,0.0,0.16666666666666666,79.37,0.0
0.99,6,29.900000000000002,0.327335,3072.95,0.0001389153685527056,0.0006672951329459025,True,0.0024737933025182754,0.0023381934431030843,0.01045027796665464,0.0026240216064859073,0.1251182198867003,0.0,0.0,80.38,79.28
0.99,7,30.95,0.32802,3080.2000000000003,0.00012665802288780448,0.0006691728828463966,True,0.0024877352618719838,0.001616813890772113,0.014722182417551891,0.003273836901245992,0.15311301219656695,0.16666666666666666,0.0,2.000000000000001,81.54
0.99,8,29.7,0.326555,3066.15,8.285188808521138e-05,0.0006509715214085415,True,0.0023542440093608395,0.002544708199593492,0.007500370776674166,0.0048092273586172974,0.11756027989452339,0.16666666666666666,0.0,2.000000000000001,79.88
