gamma,seed,transition,g_plus_events_per_10000,right_end_occupancy_rate,right_reward_events_per_10000,target_mean_abs_error,target_mean_mc_tolerance,sampled_target_variance,mean_conditional_sampling_variance,soft_mean_bellman_residual,sampled_mean_bellman_residual,soft_mean_value_error,sampled_mean_value_error
0.95,0,1000,190.0,0.277,2420.0,0.005349960574821705,0.017226239924008513,0.030719100273879238,0.008242870608875135,0.0198117174787963,0.029886951791783963,0.23819335046576928,0.206262139590024
0.95,0,5000,118.0,0.2446,2146.0,0.00036158294550159287,0.00739330463225068,0.026495090823966665,0.007591799081286023,0.023830695057289752,0.028733125773448696,0.06266768807322194,0.061729453617687925
0.95,0,10000,106.0,0.246,2154.0,0.0007047692998687349,0.005298734922932742,0.021802573767141523,0.007799053273196402,0.017814127611699017,0.0186945361273986,0.023001727963691227,0.036188156657450794
0.95,0,25000,111.2,0.24796,2193.2,0.0001763472126319332,0.003430933986644022,0.018389066700746574,0.008174519458825724,0.00531151841886177,0.012544938047029525,0.008083308996856081,0.0210851462735072
0.95,0,50000,113.8,0.25728,2289.6,9.053333870723268e-05,0.0024807734308450427,0.017627475420426746,0.008547551132203726,0.0029021592869324284,0.011677445395486707,0.004355893297395985,0.024902550666576578
0.95,0,100000,128.1,0.28406,2574.0,0.00017219439843962903,0.0018022396869764436,0.0175218817117254,0.00902241080364708,0.0030800182027177422,0.014469645578330727,0.0032334454085906745,0.017610695929460934
0.95,0,200000,154.5,0.32754,3073.5499999999997,0.00016539095241252522,0.001322065741099027,0.017258906421456163,0.00971032124326511,0.001607631166094058,0.02113055705408522,0.003482721706994233,0.03294744291365428
0.95,1,1000,120.0,0.202,1750.0,0.0023622850489679187,0.015567943397316654,0.016660235789968912,0.0067322461561682,0.016257282894058697,0.020754701664930677,0.2514979709108013,0.23780657836235444
0.95,1,5000,90.0,0.2326,2050.0,0.0018773362256603032,0.007149826313472359,0.018703698841923147,0.007100002265669684,0.023692762872332008,0.017259575165458018,0.07985327163090156,0.1261811545827879
0.95,1,10000,94.0,0.2342,2050.0,0.000751630827636629,0.005178807501359556,0.02218654239934731,0.007450013093371671,0.013944770760208345,0.02526444155726761,0.027053180467792013,0.038292630819807036
0.95,1,25000,108.4,0.2426,2136.0,0.0001081897134014298,0.0034412431166728173,0.022642038483858824,0.008223718186144474,0.007604844849217386,0.01352794434706145,0.012144732478054435,0.020204274102463095
0.95,1,50000,117.80000000000001,0.25502,2274.4,0.00012436108797969636,0.002484942429647645,0.020024254127021766,0.008576303998143252,0.0034905550281288827,0.018209880251883945,0.005587369437029303,0.01784734122491489
0.95,1,100000,133.4,0.2792,2534.7,0.00013832228372473443,0.0018017303035531603,0.018792934899353003,0.009017311352060452,0.003048102509468314,0.015809034666536572,0.005720116836208394,0.038680128555844
0.95,1,200000,155.5,0.324465,3048.4,9.426106461690731e-05,0.0013201950350757213,0.017873443944662313,0.009682860725769914,0.004092538111164251,0.014402695671863646,0.006532495148876202,0.02978981631419239
0.95,2,1000,90.0,0.286,2570.0,0.0030273123850985545,0.01895222808904559,0.012050757776049342,0.009977415264978013,0.021572615606234625,0.01686983864137898,0.23466660293010197,0.2522049366323386
0.95,2,5000,92.0,0.2366,2102.0,0.0010197522242448298,0.0073150625328966485,0.019957836120325895,0.007431963869470601,0.022506432949432355,0.025309619489140723,0.07839757859895273,0.09324475672261133
0.95,2,10000,95.0,0.2309,2050.0,0.0005756003181610625,0.005198240985723933,0.022129517128261493,0.007506030373794481,0.012910491548336006,0.019530293413120115,0.028968412972124713,0.02939300850520829
0.95,2,25000,101.2,0.2416,2144.0,2.6089188097766502e-05,0.0033986664584592114,0.01961732774798633,0.00802148173323311,0.006650643369743099,0.014174808757360416,0.012240467626820267,0.044819671332153234
0.95,2,50000,107.0,0.25138,2245.4,0.0004302846573311925,0.0024552088072468023,0.018489686040635125,0.008372292065530924,0.004503608337124774,0.01031534303033139,0.01620521168085078,0.04196770284270276
0.95,2,100000,124.60000000000001,0.27945,2543.2,0.00010928234335105813,0.0017996683975485686,0.018994441312249238,0.008996684280930646,0.0035327048472861854,0.007852952957660106,0.010217678012238258,0.024623124403585536
0.95,2,200000,153.75,0.323735,3042.45,0.00016763072386344335,0.0013213029368518256,0.01870632647630664,0.00969911917185144,0.003214669378150676,0.019177610504717044,0.005352481275749318,0.024469319749351803
0.95,3,1000,30.0,0.197,1680.0,0.005237814915279786,0.016491653871885087,0.0036277373642127895,0.007554851317501733,0.017443196951010192,0.009822549983769547,0.25329737064531094,0.28721932756808144
0.95,3,5000,115.99999999999999,0.2112,1858.0,0.0009727650383048458,0.007216639643410367,0.03967386367658842,0.007233317742061405,0.020913939267669105,0.03359888843777021,0.0789407035796083,0.061639196033092446
0.95,3,10000,110.0,0.222,1950.0,0.0008009954562375743,0.005330220585083109,0.034879199174359415,0.0078920143015677,0.014509596872904798,0.01700511967430864,0.02402168186224901,0.024738937258013655
0.95,3,25000,114.4,0.2356,2056.0,0.0007952651844209124,0.003468720551435273,0.02587029154698472,0.008355571016631546,0.0035687230672710366,0.013160465864546488,0.010027938388877762,0.032690419853391814
0.95,3,50000,117.0,0.25178,2223.7999999999997,0.0001862114116177871,0.0024968591274975903,0.020972993608027513,0.008658757642455595,0.00250059824195577,0.01658570554423423,0.003473162662424508,0.014657210007102845
