seed,adequate_coverage,visited_state_action_fraction,min_state_action_count,reward_event_count,terminal_value_error,combined_value_error,value_error_delta,terminal_bellman_residual,combined_bellman_residual,bellman_residual_delta,terminal_policy_disagreement,combined_policy_disagreement,combined_real_goal_value_error,combined_goal_success_rate
0,True,1.0,20,62,0.44353120519511435,16.37277608850379,15.929244883308677,0.002135592444922349,0.027257880894678333,0.025122288449755985,0.5454545454545454,0.5909090909090909,0.9187893160343847,0.0019230769230769232
1,True,1.0,17,56,0.01210508378177425,17.649002264416232,17.63689718063446,0.0004839111787181688,0.03316758565048915,0.03268367447177098,0.0,0.7272727272727273,0.918046819358635,0.001282051282051282
2,True,1.0,15,74,0.004178059453048267,18.134778277607115,18.13060021815407,0.00012599854300469356,0.037753440819548366,0.037627442276543674,0.0,0.7272727272727273,0.9209796449582464,0.0038461538461538455
3,True,1.0,19,70,0.0003100862169570915,14.537205827330714,14.536895741113756,1.3611355272955673e-05,0.02937304188382982,0.029359430528556864,0.0,0.6818181818181818,0.9223466168203737,0.001282051282051282
4,True,1.0,15,68,0.05499624381508672,18.335440990942168,18.28044474712708,0.0010880403757156606,0.04020354833586361,0.039115507960147955,0.045454545454545456,0.5625,0.9195018521798554,0.005128205128205128
5,True,1.0,18,76,0.03320357126780739,18.43406684165729,18.400863270389483,0.0013368962410401396,0.04457771800620326,0.043240821765163126,0.3181818181818182,0.7142857142857143,0.9183247108788638,0.000641025641025641
6,True,1.0,17,62,0.022237899861752508,18.441528192274927,18.419290292413173,0.0007637412862907888,0.04373577161309779,0.042972030326807,0.045454545454545456,0.7272727272727273,0.9204612910099264,0.000641025641025641
7,True,1.0,18,63,0.018338838971957858,18.075726737414453,18.057387898442496,0.001173676838951092,0.03565362954607456,0.034479952707123465,0.09090909090909091,0.5714285714285714,0.9204117461033635,0.01346153846153846
8,True,1.0,19,55,0.04238669919840975,10.64407100310681,10.6016843039084,0.0010808704803449373,0.03196247582672254,0.030881605346377603,0.22727272727272727,0.6363636363636364,0.9149429806015812,0.0057692307692307696
9,True,1.0,16,62,0.09993177080060384,18.31408793791533,18.214156167114723,0.0013561473609245448,0.040454387025139746,0.039098239664215204,0.13636363636363635,0.7333333333333333,0.9173036606332527,0.003205128205128205
