scenario_id,mdp,scenario_role,method,heldout_long_horizon_value_mse,value_mse,value_overestimation_error,value_underestimation_error,q_calibration_error,q_overestimation_error,q_underestimation_error,policy_regret,risky_action_selection_rate,eval_greedy_action,exact_optimal_action,chose_exact_optimal_action,triangle_violation_rate,triangle_violation_count,risky_success_count,risky_failure_count,risky_success_rate_observed,learned_risky_q,learned_safe_q,exact_risky_q,exact_safe_q
chain_len9_holdout,deterministic_chain_len9,main_holdout,mc_supervised,0.3917058232298766,0.22849506355076135,0.0,0.7290000000000001,0.4656078690468753,0.0,0.7290000000000001,0.0,0.0,right,right,True,0.16666666666666666,12,0,0,,,,,
chain_len9_holdout,deterministic_chain_len9,main_holdout,trl_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,right,right,True,0.0,0,0,0,,,,,
chain_len9_holdout,deterministic_chain_len9,main_holdout,trl_log,2.9347503914472164e-34,1.7119377283442096e-34,5.551115123125783e-17,0.0,4.336808689942018e-18,5.551115123125783e-17,0.0,0.0,0.0,right,right,True,0.0,0,0,0,,,,,
chain_len9_holdout,deterministic_chain_len9,main_holdout,mc_plus_trl_log,2.9347503914472164e-34,1.7119377283442096e-34,5.551115123125783e-17,0.0,0.13125827819531247,5.551115123125783e-17,0.36450000000000005,0.0,0.0,right,right,True,0.0,0,0,0,,,,,
chain_len9_holdout,deterministic_chain_len9,main_holdout,successor_calibration_only,0.3917058232298766,0.22849506355076135,0.0,0.7290000000000001,0.4656078690468753,0.0,0.7290000000000001,0.0,0.0,right,right,True,0.16666666666666666,12,0,0,,,,,
chain_len9_holdout,deterministic_chain_len9,main_holdout,successor_distance_trl_log,2.9347503914472164e-34,1.7119377283442096e-34,5.551115123125783e-17,0.0,4.336808689942018e-18,5.551115123125783e-17,0.0,0.0,0.0,right,right,True,0.0,0,0,0,,,,,
safe_optimal_matched,safe_optimal_matched,main_matched,mc_supervised,0.25401600000000013,0.012700800000000007,0.0,0.5040000000000001,0.045562500000000006,0.0,0.7290000000000001,0.5040000000000001,1.0,risky,safe,False,0.375,3,2,6,0.25,0.225,0.0,0.225,0.7290000000000001
safe_optimal_matched,safe_optimal_matched,main_matched,trl_raw,0.029240999999999975,0.003993299999999998,0.22499999999999998,0.0,0.05625,0.675,0.0,0.5040000000000001,1.0,risky,safe,False,0.0,0,2,6,0.25,0.9,0.7290000000000001,0.225,0.7290000000000001
safe_optimal_matched,safe_optimal_matched,main_matched,trl_log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe,safe,True,0.25,2,2,6,0.25,0.225,0.7290000000000001,0.225,0.7290000000000001
safe_optimal_matched,safe_optimal_matched,main_matched,mc_plus_trl_log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe,safe,True,0.25,2,2,6,0.25,0.225,0.7290000000000001,0.225,0.7290000000000001
safe_optimal_matched,safe_optimal_matched,main_matched,successor_calibration_only,0.25401600000000013,0.012700800000000007,0.0,0.5040000000000001,0.045562500000000006,0.0,0.7290000000000001,0.5040000000000001,1.0,risky,safe,False,0.375,3,2,6,0.25,0.225,0.0,0.225,0.7290000000000001
safe_optimal_matched,safe_optimal_matched,main_matched,successor_distance_trl_log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe,safe,True,0.25,2,2,6,0.25,0.225,0.7290000000000001,0.225,0.7290000000000001
risk_optimal_matched,risk_optimal_matched,main_matched,mc_supervised,0.0,6.2592723192585165e-34,1.1102230246251565e-16,0.0,0.04556250000000001,1.1102230246251565e-16,0.7290000000000001,0.0,1.0,risky,risky,True,0.25,2,9,1,0.9,0.8100000000000002,0.0,0.81,0.7290000000000001
risk_optimal_matched,risk_optimal_matched,main_matched,trl_raw,0.0,0.03321,0.81,0.0,0.05625,0.81,0.0,0.0,1.0,risky,risky,True,0.0,0,9,1,0.9,0.9,0.7290000000000001,0.81,0.7290000000000001
risk_optimal_matched,risk_optimal_matched,main_matched,trl_log,0.0,3.851859888774472e-35,2.7755575615628914e-17,0.0,1.734723475976807e-18,2.7755575615628914e-17,0.0,0.0,1.0,risky,risky,True,0.25,2,9,1,0.9,0.81,0.7290000000000001,0.81,0.7290000000000001
risk_optimal_matched,risk_optimal_matched,main_matched,mc_plus_trl_log,0.0,9.62964972193618e-36,1.3877787807814457e-17,0.0,8.673617379884035e-19,1.3877787807814457e-17,0.0,0.0,1.0,risky,risky,True,0.25,2,9,1,0.9,0.81,0.7290000000000001,0.81,0.7290000000000001
risk_optimal_matched,risk_optimal_matched,main_matched,successor_calibration_only,0.0,6.2592723192585165e-34,1.1102230246251565e-16,0.0,0.04556250000000001,1.1102230246251565e-16,0.7290000000000001,0.0,1.0,risky,risky,True,0.25,2,9,1,0.9,0.8100000000000002,0.0,0.81,0.7290000000000001
risk_optimal_matched,risk_optimal_matched,main_matched,successor_distance_trl_log,0.0,1.5407439555097888e-34,5.551115123125783e-17,0.0,3.469446951953614e-18,5.551115123125783e-17,0.0,0.0,1.0,risky,risky,True,0.25,2,9,1,0.9,0.81,0.7290000000000001,0.81,0.7290000000000001
safe_optimal_lucky_only_stress,safe_optimal_lucky_only,stress_biased,mc_supervised,0.029240999999999975,0.024243300000000002,0.17099999999999993,0.675,0.1299375,0.675,0.7290000000000001,0.5040000000000001,1.0,risky,safe,False,0.0,0,4,0,1.0,0.9,0.0,0.225,0.7290000000000001
safe_optimal_lucky_only_stress,safe_optimal_lucky_only,stress_biased,trl_raw,0.029240999999999975,0.024243300000000002,0.17099999999999993,0.675,0.084375,0.675,0.675,0.5040000000000001,1.0,risky,safe,False,0.0,0,4,0,1.0,0.9,0.7290000000000001,0.225,0.7290000000000001
safe_optimal_lucky_only_stress,safe_optimal_lucky_only,stress_biased,trl_log,0.029240999999999975,0.024243300000000002,0.17099999999999993,0.675,0.084375,0.675,0.675,0.5040000000000001,1.0,risky,safe,False,0.0,0,4,0,1.0,0.9,0.7290000000000001,0.225,0.7290000000000001
safe_optimal_lucky_only_stress,safe_optimal_lucky_only,stress_biased,mc_plus_trl_log,0.029240999999999975,0.024243300000000002,0.17099999999999993,0.675,0.084375,0.675,0.675,0.5040000000000001,1.0,risky,safe,False,0.0,0,4,0,1.0,0.9,0.7290000000000001,0.225,0.7290000000000001
