family,method,num_rows,weight_sum,mean_heldout_long_horizon_value_mse,mean_policy_regret,teleport_action_rate,mean_calibration_error,mean_teleport_q_overestimation,mean_teleport_q_underestimation,action_disagreement_rate
cue_insufficient,history_mc_only,10,10.0,0.33965722912500007,0.018224999999999936,0.0,0.5339925000000001,0.0,0.411885,0.5
cue_insufficient,history_mc_plus_trl_log,10,10.0,0.0394927093125,0.018224999999999936,0.0,0.1403325000000001,0.14033250000000005,0.14033249999999994,0.5
cue_insufficient,history_model_dp,10,10.0,0.0394927093125,0.018224999999999936,0.0,0.14033250000000003,0.14033250000000003,0.14033249999999997,0.5
cue_insufficient,history_trl_log,10,10.0,0.0394927093125,0.018224999999999936,0.0,0.14033250000000003,0.14033250000000003,0.14033249999999997,0.5
cue_insufficient,latent_oracle_dp,10,10.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
cue_insufficient,observation_empirical_model_dp,10,10.0,0.03967997984814049,0.018224999999999936,0.0,0.14978249999999996,0.14241272727272727,0.13825227272727275,0.5
cue_insufficient,observation_trl_log,10,10.0,0.03967997984814049,0.018224999999999936,0.0,0.14978249999999996,0.14241272727272727,0.13825227272727275,0.5
cue_noisy,history_mc_only,20,10.0,0.34131798225000004,0.018224999999999932,0.0,0.53946,0.0,0.4228199999999999,0.5
cue_noisy,history_mc_plus_trl_log,20,10.0,0.03809293167857143,0.018224999999999932,0.0,0.13174071428571438,0.13174071428571438,0.13174071428571418,0.5
cue_noisy,history_model_dp,20,10.0,0.038092931678571425,0.018224999999999932,0.0,0.13174071428571427,0.1317407142857143,0.13174071428571427,0.5
cue_noisy,history_trl_log,20,10.0,0.038092931678571425,0.018224999999999932,0.0,0.13174071428571427,0.1317407142857143,0.13174071428571427,0.5
cue_noisy,latent_oracle_dp,20,10.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
cue_noisy,observation_empirical_model_dp,20,10.0,0.03672431034917354,0.018224999999999932,0.0,0.14431499999999994,0.13700045454545454,0.13272954545454546,0.5
cue_noisy,observation_trl_log,20,10.0,0.03672431034917354,0.018224999999999932,0.0,0.14431499999999994,0.13700045454545454,0.13272954545454546,0.5
cue_sufficient,history_mc_only,10,10.0,0.34012224,0.018224999999999936,0.0,0.5358150000000002,0.0,0.41552999999999995,0.5
cue_sufficient,history_mc_plus_trl_log,10,10.0,5.242381308622056e-32,0.0,0.5,1.9567680809018384e-16,1.6930901125533636e-16,0.0,0.0
cue_sufficient,history_model_dp,10,10.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
cue_sufficient,history_trl_log,10,10.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
cue_sufficient,latent_oracle_dp,10,10.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
cue_sufficient,observation_empirical_model_dp,10,10.0,0.03865046541322313,0.018224999999999936,0.0,0.14795999999999995,0.14060863636363635,0.13641136363636366,0.5
cue_sufficient,observation_trl_log,10,10.0,0.03865046541322313,0.018224999999999936,0.0,0.14795999999999995,0.14060863636363635,0.13641136363636366,0.5
