family,method,num_rows,action_accuracy,mean_policy_regret,risky_action_selection_rate,mean_heldout_long_horizon_value_mse,mean_all_pair_value_mse,mean_risky_q_overestimation,mean_risky_q_underestimation,mean_risky_q_calibration_error
branch_chain,empirical_model_dp,5,0.4,0.06531156648910633,0.4,0.04024622833665696,0.05914984581141615,0.07292999209833119,0.15020590759684677,0.22313589969517794
branch_chain,mc_supervised,5,0.4,0.027857135808316457,0.0,0.4220098039697991,0.23506384149376736,0.0,0.5681359154985156,0.5681359154985156
branch_chain,posterior_lower_q10_model_dp,5,0.6,0.010237907596846707,0.2,0.038473728738677285,0.0587230199707696,0.015853458892259597,0.24124273439077518,0.2570961932830348
branch_chain,posterior_mc_plus_trl_log,5,0.6,0.010237907596846707,0.2,0.03614525662239185,0.05743102475234061,0.0453536588922596,0.16851554841674915,0.2138692073090087
branch_chain,posterior_mean_model_dp,5,0.6,0.010237907596846707,0.2,0.03614525662239185,0.05743102475234061,0.0453536588922596,0.16851554841674918,0.21386920730900877
branch_chain,posterior_trl_log,5,0.6,0.010237907596846707,0.2,0.03614525662239185,0.05743102475234061,0.0453536588922596,0.16851554841674918,0.21386920730900877
branch_chain,trl_log,5,0.4,0.06531156648910633,0.4,0.04024622833665696,0.05914984581141615,0.07292999209833119,0.15020590759684677,0.22313589969517794
branch_chain,trl_raw,5,0.4,0.09687649033870312,0.8,0.04497430195376568,0.0612271014092818,0.1535833545303866,0.13851927002890213,0.29210262455928876
stochastic_stitching,empirical_model_dp,5,0.4,0.06501895492118819,0.4,0.03093335610854377,0.015474320626778304,0.0656804622366313,0.1583698306861299,0.22405029292276116
stochastic_stitching,mc_supervised,5,0.4,0.030049275912087302,0.0,0.4495425903825715,0.23476822745541365,0.0,0.5762593684494987,0.5762593684494987
stochastic_stitching,posterior_lower_q10_model_dp,5,0.4,0.030049275912087302,0.0,0.030141321572243057,0.015298930334440918,0.0118802622366313,0.25256635068612987,0.2644466129227612
stochastic_stitching,posterior_mc_plus_trl_log,5,0.6,0.01391849268455687,0.2,0.023262119868751766,0.011665541944193584,0.04138046223663132,0.16471307743937658,0.2060935396760079
stochastic_stitching,posterior_mean_model_dp,5,0.6,0.01391849268455687,0.2,0.023262119868751766,0.011665541944193584,0.0413804622366313,0.16471307743937666,0.20609353967600796
stochastic_stitching,posterior_trl_log,5,0.6,0.01391849268455687,0.2,0.023262119868751766,0.011665541944193584,0.0413804622366313,0.16471307743937666,0.20609353967600796
stochastic_stitching,trl_log,5,0.4,0.06501895492118819,0.4,0.03093335610854377,0.015474320626778304,0.0656804622366313,0.1583698306861299,0.22405029292276116
stochastic_stitching,trl_raw,5,0.4,0.09497601939289683,0.8,0.03433366832759807,0.01720931121542215,0.14949074348080948,0.14255011193030803,0.29204085541111746
teleporter,empirical_model_dp,5,0.4,0.074889528935733,0.4,0.041775424191116045,0.05981452422505492,0.07782314520570718,0.15456351341961438,0.23238665862532154
teleporter,mc_supervised,5,0.4,0.02625951341961432,0.0,0.4265608098263357,0.23610475315272433,0.0,0.5627403682139073,0.5627403682139073
teleporter,posterior_lower_q10_model_dp,5,0.4,0.02625951341961432,0.0,0.0391605939255038,0.059104790240732195,0.021073815516118654,0.24191318373002585,0.26298699924614455
teleporter,posterior_mc_plus_trl_log,5,0.6,0.014595513419614337,0.2,0.037370670453017604,0.0579744231494375,0.050574015516118655,0.17212737074301282,0.22270138625913147
teleporter,posterior_mean_model_dp,5,0.6,0.014595513419614337,0.2,0.037370670453017604,0.0579744231494375,0.050574015516118655,0.17212737074301288,0.22270138625913155
teleporter,posterior_trl_log,5,0.6,0.014595513419614337,0.2,0.037370670453017604,0.0579744231494375,0.050574015516118655,0.17212737074301288,0.22270138625913155
teleporter,trl_log,5,0.4,0.074889528935733,0.4,0.041775424191116045,0.05981452422505492,0.07782314520570718,0.15456351341961438,0.23238665862532154
teleporter,trl_raw,5,0.4,0.10095052285466966,0.8,0.046617540640621645,0.062235582449807716,0.15925500943505527,0.1387953776489625,0.29805038708401776
