mdp_id,tags,true_risky_success_prob,safe_length,risk_total_length_if_successful,risky_samples,observed_successes,observed_failures,observed_success_rate,family,seed,regime,method,estimated_action,exact_optimal_action,matches_exact_action,risky_action_selected,policy_regret,heldout_long_horizon_value_mse,all_pair_value_mse,risky_q_overestimation,risky_q_underestimation,risky_q_calibration_error,mean_abs_q_error,exact_start_safe_q,exact_start_risky_q,estimated_start_safe_q,estimated_start_risky_q
branch_chain_seed0,matched;safe_optimal,0.6633500588645997,4,3,12,8,4,0.6666666666666666,branch_chain,0,matched_safe_optimal,mc_supervised,safe,safe,True,False,0.0,0.39858664910062086,0.1708228496145518,0.0,0.4835821929122932,0.4835821929122932,0.26695459898747054,0.6561000000000001,0.4835821929122932,0.0,0.0
branch_chain_seed0,matched;safe_optimal,0.6633500588645997,4,3,12,8,4,0.6666666666666666,branch_chain,0,matched_safe_optimal,trl_raw,risky,safe,False,True,0.17251780708770692,0.020076633345246304,0.008604271433676989,0.24541780708770689,0.0,0.24541780708770689,0.03505968672681527,0.6561000000000001,0.4835821929122932,0.6561000000000001,0.7290000000000001
branch_chain_seed0,matched;safe_optimal,0.6633500588645997,4,3,12,8,4,0.6666666666666666,branch_chain,0,matched_safe_optimal,trl_log,safe,safe,True,False,0.0,1.9485970377884704e-06,8.351130161950587e-07,0.002417807087706836,0.0,0.002417807087706836,0.000345401012529548,0.6561000000000001,0.4835821929122932,0.6561000000000001,0.48600000000000004
branch_chain_seed0,matched;safe_optimal,0.6633500588645997,4,3,12,8,4,0.6666666666666666,branch_chain,0,matched_safe_optimal,empirical_model_dp,safe,safe,True,False,0.0,1.9485970377884704e-06,8.351130161950587e-07,0.002417807087706836,0.0,0.002417807087706836,0.000345401012529548,0.6561000000000001,0.4835821929122932,0.6561000000000001,0.48600000000000004
branch_chain_seed0,matched;safe_optimal,0.6633500588645997,4,3,12,8,4,0.6666666666666666,branch_chain,0,matched_safe_optimal,posterior_mean_model_dp,safe,safe,True,False,0.0,7.439458441064955e-05,3.1883393318849806e-05,0.0,0.014939335769435957,0.014939335769435957,0.0021341908242051367,0.6561000000000001,0.4835821929122932,0.6561000000000001,0.46864285714285725
branch_chain_seed0,matched;safe_optimal,0.6633500588645997,4,3,12,8,4,0.6666666666666666,branch_chain,0,matched_safe_optimal,posterior_lower_q10_model_dp,safe,safe,True,False,0.0,0.006178105164929296,0.0026477593563982694,0.0,0.13614079291229314,0.13614079291229314,0.019448684701756164,0.6561000000000001,0.4835821929122932,0.6561000000000001,0.34744140000000007
branch_chain_seed0,matched;safe_optimal,0.6633500588645997,4,3,12,8,4,0.6666666666666666,branch_chain,0,matched_safe_optimal,posterior_trl_log,safe,safe,True,False,0.0,7.439458441064955e-05,3.1883393318849806e-05,0.0,0.014939335769435957,0.014939335769435957,0.0021341908242051367,0.6561000000000001,0.4835821929122932,0.6561000000000001,0.46864285714285725
branch_chain_seed0,matched;safe_optimal,0.6633500588645997,4,3,12,8,4,0.6666666666666666,branch_chain,0,matched_safe_optimal,posterior_mc_plus_trl_log,safe,safe,True,False,0.0,7.439458441064899e-05,3.188339331884957e-05,0.0,0.014939335769435902,0.014939335769435902,0.0021341908242051765,0.6561000000000001,0.4835821929122932,0.6561000000000001,0.4686428571428573
branch_chain_seed1,matched;risk_optimal,0.9308451866355951,5,3,20,19,1,0.95,branch_chain,1,matched_risk_optimal,mc_supervised,safe,risky,False,False,0.08809614105734875,0.44276645023377625,0.22138322511688813,0.0,0.6785861410573489,0.6785861410573489,0.33177201763216874,0.5904900000000002,0.6785861410573489,0.0,0.0
branch_chain_seed1,matched;risk_optimal,0.9308451866355951,5,3,20,19,1,0.95,branch_chain,1,matched_risk_optimal,trl_raw,risky,risky,True,True,0.0,0.000635389293372382,0.000317694646686191,0.05041385894265116,0.0,0.05041385894265116,0.006301732367831395,0.5904900000000002,0.6785861410573489,0.5904900000000002,0.7290000000000001
