regime,method,num_rows,action_accuracy,mean_policy_regret,risky_action_selection_rate,mean_heldout_long_horizon_value_mse,mean_all_pair_value_mse,mean_risky_q_overestimation,mean_risky_q_underestimation,mean_risky_q_calibration_error
lucky_only_safe_optimal,empirical_model_dp,3,0.0,0.2774468944083493,1.0,0.03803664648972333,0.016943372769348323,0.35034689440834926,0.0,0.35034689440834926
lucky_only_safe_optimal,mc_supervised,3,1.0,0.0,0.0,0.38165624691018357,0.17341117557034888,0.0,0.37865310559165083,0.37865310559165083
lucky_only_safe_optimal,posterior_lower_q10_model_dp,3,1.0,0.0,0.0,0.0022258148121230945,0.0009749237038282204,0.08134589440834926,0.0,0.08134589440834926
lucky_only_safe_optimal,posterior_mc_plus_trl_log,3,1.0,0.0,0.0,0.016385951143133338,0.007277363384991262,0.22884689440834927,0.0,0.22884689440834927
lucky_only_safe_optimal,posterior_mean_model_dp,3,1.0,0.0,0.0,0.016385951143133334,0.0072773633849912605,0.22884689440834927,0.0,0.22884689440834927
lucky_only_safe_optimal,posterior_trl_log,3,1.0,0.0,0.0,0.016385951143133334,0.0072773633849912605,0.22884689440834927,0.0,0.22884689440834927
lucky_only_safe_optimal,trl_log,3,0.0,0.2774468944083493,1.0,0.03803664648972333,0.016943372769348323,0.35034689440834926,0.0,0.35034689440834926
lucky_only_safe_optimal,trl_raw,3,0.0,0.2774468944083493,1.0,0.03803664648972333,0.016943372769348323,0.35034689440834926,0.0,0.35034689440834926
matched_risk_optimal,empirical_model_dp,3,1.0,0.0,1.0,5.495667389796898e-05,2.6629442710517282e-05,0.009514619647550368,0.005014638712550738,0.014529258360101105
matched_risk_optimal,mc_supervised,3,0.0,0.07569001906500028,0.0,0.46400895342916443,0.22881012245420132,0.0,0.6880500190650004,0.6880500190650004
matched_risk_optimal,posterior_lower_q10_model_dp,3,0.3333333333333333,0.04632463871255069,0.3333333333333333,0.0017414324739892136,0.000888022333559059,0.0,0.0832230190650004,0.0832230190650004
matched_risk_optimal,posterior_mc_plus_trl_log,3,1.0,0.0,1.0,0.00017432864963488524,9.082648740543866e-05,0.0,0.025322746337727426,0.025322746337727426
matched_risk_optimal,posterior_mean_model_dp,3,1.0,0.0,1.0,0.00017432864963488797,9.082648740544002e-05,0.0,0.025322746337727648,0.025322746337727648
matched_risk_optimal,posterior_trl_log,3,1.0,0.0,1.0,0.00017432864963488797,9.082648740544002e-05,0.0,0.025322746337727648,0.025322746337727648
matched_risk_optimal,trl_log,3,1.0,0.0,1.0,5.495667389796898e-05,2.6629442710517282e-05,0.009514619647550368,0.005014638712550738,0.014529258360101105
matched_risk_optimal,trl_raw,3,1.0,0.0,1.0,0.00045857112711659515,0.00023999595460549817,0.04094998093499965,0.0,0.04094998093499965
matched_safe_optimal,empirical_model_dp,3,1.0,0.0,0.0,5.181635175062405e-06,2.5444224199648106e-06,0.0008611518452164568,0.002457591290070856,0.003318743135287313
matched_safe_optimal,mc_supervised,3,1.0,0.0,0.0,0.40186632136944206,0.19144300237280154,0.0,0.4673464394448545,0.4673464394448545
matched_safe_optimal,posterior_lower_q10_model_dp,3,1.0,0.0,0.0,0.0052898220154387506,0.0024978132656972487,0.0,0.1380814394448544,0.1380814394448544
matched_safe_optimal,posterior_mc_plus_trl_log,3,1.0,0.0,0.0,8.180141472155352e-05,3.912940773195178e-05,0.0,0.016060725159140015,0.016060725159140015
matched_safe_optimal,posterior_mean_model_dp,3,1.0,0.0,0.0,8.180141472155408e-05,3.912940773195206e-05,0.0,0.016060725159140088,0.016060725159140088
matched_safe_optimal,posterior_trl_log,3,1.0,0.0,0.0,8.180141472155408e-05,3.912940773195206e-05,0.0,0.016060725159140088,0.016060725159140088
matched_safe_optimal,trl_log,3,1.0,0.0,0.0,5.181635175062405e-06,2.5444224199648106e-06,0.0008611518452164568,0.002457591290070856,0.003318743135287313
matched_safe_optimal,trl_raw,3,0.0,0.16688356055514567,1.0,0.01901595370384472,0.009029961772273639,0.2616535605551456,0.0,0.2616535605551456
no_success_risk_optimal,empirical_model_dp,3,0.0,0.043674599346954314,0.0,0.1491448495404598,0.20657168170950413,0.0,0.6997745993469544,0.6997745993469544
no_success_risk_optimal,mc_supervised,3,0.0,0.043674599346954314,0.0,0.48734799704045995,0.3604048711737899,0.0,0.6997745993469544,0.6997745993469544
no_success_risk_optimal,posterior_lower_q10_model_dp,3,0.0,0.043674599346954314,0.0,0.1481291455501574,0.20606382971435291,0.0,0.6969071993469544,0.6969071993469544
no_success_risk_optimal,posterior_mc_plus_trl_log,3,0.0,0.043674599346954314,0.0,0.1409277977406936,0.20246315580962104,0.0,0.6754745993469545,0.6754745993469545
no_success_risk_optimal,posterior_mean_model_dp,3,0.0,0.043674599346954314,0.0,0.1409277977406936,0.20246315580962104,0.0,0.6754745993469545,0.6754745993469545
no_success_risk_optimal,posterior_trl_log,3,0.0,0.043674599346954314,0.0,0.1409277977406936,0.20246315580962104,0.0,0.6754745993469545,0.6754745993469545
no_success_risk_optimal,trl_log,3,0.0,0.043674599346954314,0.0,0.1491448495404598,0.20657168170950413,0.0,0.6997745993469544,0.6997745993469544
no_success_risk_optimal,trl_raw,3,0.0,0.043674599346954314,0.0,0.1491448495404598,0.20657168170950413,0.0,0.6997745993469544,0.6997745993469544
sparse_prior_dependent_risk_optimal,empirical_model_dp,3,0.0,0.02091192348807554,0.0,0.0010167133879384373,0.0005202560947660061,0.0,0.06465192348807565,0.06465192348807565
sparse_prior_dependent_risk_optimal,mc_supervised,3,0.0,0.02091192348807554,0.0,0.42864248821526035,0.2224921985987005,0.0,0.6114019234880758,0.6114019234880758
sparse_prior_dependent_risk_optimal,posterior_lower_q10_model_dp,3,0.0,0.02091192348807554,0.0,0.022239858875665108,0.011453311892467085,0.0,0.30799212348807564,0.30799212348807564
